"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,1.80924814812451e-10,0
1810,1.80924814812451e-10,0
1811,1.80924814812451e-10,0
1812,1.80924814812451e-10,0
1813,1.80924814812451e-10,0
1814,1.80924814812451e-10,0
1815,1.80924814812451e-10,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,4.42190791919269e-10,0
1821,6.99299301005445e-10,1
1822,8.24068202565087e-10,1
1823,8.24068202565087e-10,1
1824,8.24068202565087e-10,1
1825,8.24068202565087e-10,1
1826,8.24068202565087e-10,1
1827,3.81877410645818e-10,0
1828,1.24768901559642e-10,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,1.67566801704108e-10,0
1836,4.67811519680847e-10,1
1837,1.31966705817023e-09,2
1838,1.31966705817023e-09,2
1839,1.31966705817023e-09,3
1840,1.31966705817023e-09,2
1841,1.31966705817023e-09,2
1842,1.15210025646612e-09,2
1843,8.51855538489385e-10,2
1844,2.67131428088874e-10,1
1845,4.67347716082145e-10,1
1846,4.67347716082145e-10,1
1847,8.30980490767225e-10,2
1848,8.30980490767225e-10,2
1849,8.30980490767225e-10,2
1850,8.30980490767225e-10,2
1851,6.56706252869351e-10,2
1852,4.5648996487608e-10,1
1853,5.0474930584394e-10,2
1854,1.4111653115886e-10,0
1855,1.4111653115886e-10,0
1856,1.4111653115886e-10,0
1857,1.4111653115886e-10,0
1858,4.825934096786e-11,0
1859,1.09188729486525e-10,0
1860,3.04910239913779e-10,1
1861,3.04910239913779e-10,1
1862,3.04910239913779e-10,1
1863,3.04910239913779e-10,1
1864,3.04910239913779e-10,1
1865,3.04910239913779e-10,1
1866,2.88220471299029e-10,1
1867,4.42396199039154e-11,0
1868,4.42396199039154e-11,0
1869,4.42396199039154e-11,0
1870,1.22686047828883e-09,4
1871,1.22686047828883e-09,4
1872,1.22686047828883e-09,4
1873,1.18262085838491e-09,4
1874,1.22236157307221e-09,4
1875,1.22236157307221e-09,4
1876,1.22236157307221e-09,4
1877,3.97407146872959e-11,0
1878,3.97407146872959e-11,0
1879,3.97407146872959e-11,0
1880,3.97407146872959e-11,0
1881,3.1565595375633e-11,0
1882,3.1565595375633e-11,0
1883,3.1565595375633e-11,0
1884,9.25874099610979e-11,0
1885,1.21610685807231e-10,1
1886,2.59553771332831e-10,1
1887,2.87187739858982e-10,1
1888,3.36630669767984e-10,2
1889,3.88972463365762e-10,2
1890,4.39563843657176e-10,2
1891,4.29752128724584e-10,2
1892,4.45672017147989e-10,2
1893,3.3079060324237e-10,2
1894,3.25248407571723e-10,2
1895,2.6541108993123e-10,2
1896,2.90590999675798e-10,2
1897,2.58576374597855e-10,2
1898,2.07366274944982e-10,1
1899,6.17770775011652e-10,5
1900,6.12779707928216e-10,5
1901,6.76371367644027e-10,5
1902,7.92946482284864e-10,6
