"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,1.98110163194899e-09,0
1834,1.98110163194899e-09,0
1835,1.98110163194899e-09,0
1836,1.98110163194899e-09,0
1837,1.98110163194899e-09,0
1838,5.15722918338822e-09,0
1839,6.62244126203859e-09,0
1840,4.6413396300896e-09,0
1841,6.26426428189981e-09,1
1842,6.26426428189981e-09,1
1843,6.26426428189981e-09,0
1844,6.26426428189981e-09,1
1845,3.08813673046058e-09,0
1846,1.62292465181021e-09,0
1847,3.10012561653496e-09,0
1848,3.42431200855182e-09,0
1849,4.88522301976348e-09,0
1850,4.88522301976348e-09,0
1851,4.88522301976348e-09,0
1852,4.88522301976348e-09,0
1853,4.88522301976348e-09,0
1854,3.40802205503873e-09,0
1855,1.46091101121166e-09,0
1856,0,0
1857,0,0
1858,5.48034100639987e-09,0
1859,1.1073601718132e-08,1
1860,1.27718027899602e-08,1
1861,1.4164535068671e-08,1
1862,1.54070126815295e-08,1
1863,1.64458707604557e-08,1
1864,1.64458707604557e-08,2
1865,1.07498542194812e-07,12
1866,1.0190528148308e-07,14
1867,1.08124734245406e-07,16
1868,1.12351212460433e-07,18
1869,1.11108734847574e-07,14
1870,1.13487113547909e-07,16
1871,1.15924342125595e-07,18
1872,2.35417935304635e-08,3
1873,2.46039347625729e-08,3
1874,1.66862809284193e-08,2
1875,1.2324601910458e-08,2
1876,1.7759840709175e-08,2
1877,1.62324676874651e-08,2
1878,1.46214282586194e-08,2
1879,1.04709644129944e-08,1
1880,9.408823180885e-09,1
1881,1.02715840277767e-08,2
1882,9.0140525520001e-09,1
1883,8.6982315318705e-09,2
1884,8.33019805516041e-09,1
1885,8.23021936316845e-09,1
1886,1.03393866801582e-08,2
1887,1.161769353735e-08,2
1888,1.13814810909219e-08,2
1889,1.24685127619476e-08,3
1890,8.38346154401799e-09,2
1891,8.0142290264413e-09,2
1892,1.19057191407178e-08,3
1893,1.62181372775905e-08,4
1894,1.97454324319628e-08,5
1895,2.17271439887209e-08,7
1896,2.31616774965764e-08,8
1897,2.4390473038086e-08,8
1898,3.40902302260154e-08,11
1899,3.36132517058425e-08,19
1900,3.51798597237567e-08,18
1901,4.11022898890881e-08,18
1902,4.49481907567011e-08,15
1903,5.19945060339921e-08,18
1904,5.88288225118155e-08,20
1905,5.48247418891939e-08,17
1906,5.50453336879895e-08,20
1907,5.41117932049774e-08,18
1908,5.34950560357065e-08,18
1909,6.21610213144156e-08,22
1910,7.97119648700471e-08,32
1911,8.86363242802446e-08,30
