"Year","Freq","Count"
1800,7.99616084457e-09,2
1801,6.396928675656e-09,2
1802,5.33077389638e-09,1
1803,4.92023472758214e-09,2
1804,1.56192465310718e-09,0
1805,1.82160215483102e-09,1
1806,1.22083256202745e-09,0
1807,1.22083256202745e-09,1
1808,1.69155897225945e-09,1
1809,2.95803262836561e-09,2
1810,2.60703266910919e-09,2
1811,1.99687756806201e-09,1
1812,1.73720006633817e-09,1
1813,2.319138246522e-09,2
1814,3.15497079255473e-09,2
1815,3.26366647992618e-09,2
1816,3.1382292954772e-09,2
1817,4.68035724462571e-09,3
1818,4.85939211092301e-09,4
1819,5.46058193900174e-09,4
1820,5.02604069474444e-09,4
1821,4.57587091234097e-09,4
1822,3.99644881473752e-09,4
1823,5.10281665335098e-09,5
1824,3.56068870420247e-09,4
1825,3.88812108699708e-09,4
1826,3.40542950188245e-09,3
1827,4.51287983966558e-09,5
1828,4.34787569439773e-09,5
1829,1.82621831308032e-08,22
1830,1.62053879046046e-08,22
1831,1.63911772250407e-08,21
1832,1.62253078115983e-08,33
1833,1.7921331291986e-08,27
1834,1.74970859547128e-08,27
1835,1.72764273363514e-08,29
1836,3.5122422589343e-09,6
1837,3.70884023492835e-09,6
1838,4.59161126580605e-09,8
1839,4.62992062149376e-09,9
1840,2.96657083025715e-09,5
1841,2.48585698057825e-09,5
1842,5.04010540445878e-09,9
1843,5.21785566341494e-09,10
1844,9.83936272934218e-09,20
1845,9.10449621249754e-09,21
1846,8.92125052403309e-09,19
1847,9.31552774205028e-09,20
1848,9.23907803833985e-09,20
1849,7.0610063867311e-09,15
1850,7.11289304836501e-09,17
1851,2.47560767124051e-09,6
1852,2.34416011998409e-09,6
1853,2.67935137568795e-09,8
1854,2.79042642960446e-09,9
1855,3.19951071192648e-09,9
1856,1.05763473772542e-08,31
1857,1.16887489845904e-08,33
1858,1.18933553918042e-08,32
1859,1.3701778866266e-08,39
1860,1.43298351478511e-08,42
1861,1.40122310421376e-08,35
1862,1.37754545469017e-08,32
1863,8.88671380134503e-09,21
1864,7.95969437187135e-09,20
1865,1.34869234193401e-08,34
1866,1.47057458908608e-08,44
