"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,2.81097113839581e-10,0
1830,2.81097113839581e-10,0
1831,2.81097113839581e-10,0
1832,2.81097113839581e-10,1
1833,2.81097113839581e-10,0
1834,2.81097113839581e-10,0
1835,2.81097113839581e-10,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,3.87608516711729e-11,0
1897,9.44911173115872e-11,1
1898,9.44911173115872e-11,1
1899,9.44911173115872e-11,1
1900,9.44911173115872e-11,1
1901,9.44911173115872e-11,1
1902,9.44911173115872e-11,1
1903,5.57302656404143e-11,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,1.59387225640018e-11,0
1916,1.59387225640018e-11,0
1917,1.59387225640018e-11,0
1918,1.59387225640018e-11,0
1919,7.27617093560744e-11,1
1920,1.19165019122188e-10,1
1921,1.19165019122188e-10,1
1922,1.27377592600603e-10,1
1923,1.27377592600603e-10,1
1924,1.27377592600603e-10,1
1925,1.27377592600603e-10,1
1926,7.05546058085308e-11,0
1927,2.41512960424168e-11,0
1928,2.41512960424168e-11,0
1929,0,0
1930,5.44547859185737e-11,0
1931,5.44547859185737e-11,0
1932,5.44547859185737e-11,0
1933,1.00789103253872e-10,1
1934,1.00789103253872e-10,1
1935,1.00789103253872e-10,1
1936,1.00789103253872e-10,1
1937,4.6334317335298e-11,0
1938,6.80865681295424e-11,0
1939,6.80865681295424e-11,0
1940,2.53891606151667e-10,2
1941,6.12413005228264e-10,4
1942,6.62229096956172e-10,4
1943,6.62229096956172e-10,4
1944,7.38114387071371e-10,4
1945,7.16362136277127e-10,4
1946,7.16362136277127e-10,5
1947,4.84222780919704e-10,4
1948,2.1120138178026e-10,2
1949,2.46416113704383e-10,2
1950,2.46416113704383e-10,2
1951,1.70530823589183e-10,1
1952,1.86214771776986e-10,2
1953,2.01904008393213e-10,2
1954,3.03515691746359e-10,3
1955,3.91946696328852e-10,4
1956,4.6853195034042e-10,4
1957,5.83225466929286e-10,6
1958,1.011690541857e-09,10
1959,1.43647022748938e-09,15
1960,1.72782894936052e-09,19
1961,2.03141775028432e-09,24
1962,2.07172363193247e-09,26
1963,2.12799239539065e-09,29
1964,2.41799783965276e-09,31
1965,2.18346455796833e-09,30
1966,2.23541292421192e-09,32
1967,2.2467733923337e-09,36
1968,1.93899486645404e-09,31
1969,1.86838815450864e-09,30
1970,1.91358858124348e-09,31
1971,1.78636750629885e-09,29
1972,1.73156283557661e-09,27
1973,1.3629622886662e-09,22
1974,1.41119152375595e-09,22
1975,1.5408355603335e-09,25
1976,1.78295411074059e-09,31
1977,2.03355913755024e-09,36
1978,2.52311454120619e-09,44
1979,3.4324608339163e-09,61
1980,4.48417345170442e-09,79
1981,5.80372129472103e-09,101
1982,6.48826917540313e-09,114
1983,7.39055647583364e-09,134
1984,7.58987372306444e-09,142
1985,8.103271722277e-09,156
1986,8.12562435590993e-09,156
1987,8.60859220416391e-09,167
1988,8.71764177115938e-09,171
1989,9.32268641649715e-09,192
1990,9.2263360364418e-09,196
1991,1.00702450723482e-08,207
1992,1.0094094798114e-08,216
1993,1.07109047484518e-08,229
1994,9.96935414429578e-09,216
1995,9.98167725755973e-09,223
1996,9.78214497400685e-09,216
1997,1.00631056672097e-08,220
1998,9.45952400141107e-09,211
1999,9.23989171682952e-09,209
2000,8.79843861656404e-09,218
2001,8.77901654348724e-09,216
2002,8.02906346418695e-09,211
2003,7.72809026147736e-09,212
2004,7.57763897066673e-09,213
2005,7.42921617974401e-09,197
2006,7.52313243199925e-09,207
2007,7.30207730144967e-09,206
2008,7.55801344228178e-09,216
2009,1.3192228228471e-08,364
2010,1.33059905896095e-08,352
2011,1.28008574514147e-08,344
2012,1.31974132713423e-08,452
2013,1.37793347441565e-08,479
2014,1.48792685340396e-08,456
2015,1.55233653059893e-08,413
2016,1.20045973930299e-08,319
2017,1.26871289966857e-08,347
2018,1.40806681231398e-08,368
2019,1.54982662571579e-08,352
