"Year","Freq","Count"
1800,0,0
1801,4.71107995281272e-08,0
1802,3.92589996067727e-08,0
1803,3.36505710915195e-08,0
1804,3.36505710915195e-08,0
1805,3.36505710915195e-08,0
1806,3.36505710915195e-08,0
1807,3.36505710915195e-08,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,8.77303157104897e-09,0
1813,8.77303157104897e-09,0
1814,8.77303157104897e-09,0
1815,8.77303157104897e-09,0
1816,8.77303157104897e-09,0
1817,8.77303157104897e-09,0
1818,8.77303157104897e-09,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,8.02364143380276e-09,0
1825,8.02364143380276e-09,0
1826,8.02364143380276e-09,0
1827,8.02364143380276e-09,0
1828,8.02364143380276e-09,0
1829,8.02364143380276e-09,0
1830,8.02364143380276e-09,0
1831,0,0
1832,0,0
1833,1.98110163194899e-09,0
1834,1.98110163194899e-09,0
1835,1.98110163194899e-09,0
1836,3.88486246346734e-09,0
1837,3.88486246346734e-09,0
1838,3.88486246346734e-09,0
1839,3.88486246346734e-09,0
1840,1.90376083151835e-09,0
1841,5.14961013513877e-09,0
1842,1.72888688762133e-08,2
1843,2.3526579034134e-08,2
1844,2.5129381623198e-08,2
1845,2.5129381623198e-08,3
1846,2.68707984117457e-08,2
1847,3.27796021437621e-08,3
1848,2.95337528401417e-08,3
1849,1.73944940990672e-08,1
1850,1.24918311885023e-08,1
1851,1.24140522623455e-08,1
1852,1.24140522623455e-08,1
1853,1.70726766057783e-08,1
1854,1.25261276906485e-08,1
1855,1.57923079058264e-08,1
1856,5.13203272894153e-08,6
1857,5.32628303367184e-08,6
1858,5.35645869246894e-08,5
1859,5.72934273991775e-08,6
1860,8.99520097773023e-08,10
1861,9.27679517965479e-08,7
1862,9.07442491942285e-08,7
1863,5.93716621263443e-08,5
1864,5.91318604240395e-08,6
1865,5.73050801731613e-08,7
1866,5.79659006508645e-08,8
1867,3.07837573844592e-08,4
1868,3.4097841375821e-08,5
1869,3.28553637629625e-08,4
1870,3.0978089300098e-08,4
1871,2.72551941650688e-08,4
1872,2.8292810126475e-08,3
1873,2.60274316385026e-08,3
1874,1.52603938374796e-08,2
1875,1.27982389130921e-08,2
1876,1.27982389130921e-08,2
1877,1.1465012939027e-08,1
1878,1.10725877990246e-08,1
1879,1.10754822456118e-08,1
1880,1.02990639508757e-08,2
1881,1.26406648957657e-08,2
1882,1.79692857419208e-08,2
1883,1.96757582924891e-08,4
1884,1.9491741554134e-08,3
1885,1.93917628621421e-08,3
1886,2.04604197711384e-08,3
1887,2.03908624588475e-08,4
1888,1.75663674717441e-08,3
1889,8.29465239350822e-09,2
1890,1.17600128682735e-08,3
1891,1.09990977278532e-08,2
1892,1.44707968465139e-08,4
1893,1.36459466583614e-08,4
1894,4.77543465089119e-08,12
1895,7.01674264723197e-08,24
1896,7.08454904265108e-08,24
1897,6.73710290412442e-08,22
1898,6.96730436202029e-08,23
1899,6.87877116854553e-08,39
1900,6.91010332763499e-08,35
1901,3.45395597837036e-08,15
1902,1.38049888346156e-08,5
1903,1.47188998132565e-08,5
1904,2.2985433873706e-08,8
1905,2.32515221362409e-08,7
1906,2.31108090442689e-08,9
1907,2.60986946022866e-08,9
1908,2.8643893289017e-08,10
1909,3.22188847347503e-08,12
1910,3.34139959828101e-08,13
1911,3.04585828622298e-08,10
1912,3.38572382828163e-08,11
1913,4.62853142479958e-08,14
1914,5.18227935484918e-08,15
1915,1.00517446778779e-07,31
1916,2.0777744255288e-07,53
1917,2.06613651330758e-07,70
1918,2.15640953411216e-07,45
1919,2.67594132598502e-07,71
1920,2.53815084473784e-07,80
1921,2.43692080895538e-07,67
1922,1.93485321320352e-07,69
1923,8.09984043329389e-08,19
1924,8.11823903022559e-08,15
1925,7.13612719075282e-08,16
1926,1.87088893583669e-08,4
1927,1.74782107517249e-08,4
1928,1.80341099514132e-08,4
1929,1.83207964354892e-08,4
1930,2.19063306542263e-08,5
1931,1.9742814874998e-08,5
1932,5.87216490036521e-08,12
1933,1.52391481655911e-07,26
1934,1.53199822795967e-07,30
1935,1.53432833993605e-07,32
1936,1.52108414625778e-07,29
1937,1.52706175577626e-07,31
1938,2.04391089132981e-07,37
1939,1.5919757873866e-07,28
1940,6.02601911861963e-08,11
1941,6.08190720008395e-08,10
1942,6.18252946615883e-08,9
1943,7.2825334080611e-08,10
1944,6.9188576645729e-08,10
1945,1.67728662704901e-08,3
1946,2.47157748235947e-08,6
1947,8.34112257359314e-08,20
1948,1.0069519389739e-07,24
1949,1.01485182289553e-07,24
1950,9.18093160226111e-08,26
1951,9.96623947178778e-08,27
1952,1.0913921658481e-07,54
1953,1.08287237906727e-07,29
1954,6.20251261462812e-08,17
1955,5.10563532087259e-08,15
1956,5.28228274137328e-08,14
1957,5.47233128335632e-08,15
1958,6.58994781600951e-08,18
1959,5.80551742869671e-08,17
1960,5.42086338674506e-08,17
1961,4.45536789366636e-08,16
1962,4.06029486540608e-08,14
1963,4.68557492488182e-08,16
1964,4.57564780350797e-08,14
1965,2.8627425509496e-08,10
1966,2.82630390202598e-08,11
1967,3.08291542770535e-08,13
1968,3.29843253345428e-08,15
1969,3.26660796507688e-08,15
1970,2.35163521671617e-08,11
1971,2.38052268056573e-08,10
1972,2.25006603507946e-08,9
1973,3.57018906819003e-08,14
1974,3.98351664670266e-08,16
1975,3.6388753217003e-08,14
1976,3.89246791307077e-08,18
1977,4.22392330953362e-08,19
1978,4.75829912138792e-08,23
1979,5.09416660917797e-08,25
1980,4.091868237894e-08,22
1981,3.3294314543448e-08,19
1982,3.71071274025374e-08,23
1983,3.41414898416151e-08,22
1984,3.18590563930243e-08,21
1985,4.78143985357552e-08,35
1986,4.46090055846885e-08,35
1987,4.58727792101194e-08,39
1988,4.58315750271966e-08,40
1989,4.6042512945123e-08,44
1990,4.42375102739843e-08,46
1991,4.80697901166544e-08,51
1992,2.83184231461168e-08,31
1993,3.23157675698381e-08,36
1994,3.0302802568803e-08,36
1995,3.5487717034829e-08,42
1996,3.78457957591774e-08,48
1997,4.06608907456617e-08,52
1998,3.77853604000793e-08,51
1999,3.84526111150775e-08,58
2000,4.41334632054044e-08,96
2001,4.7343528181143e-08,105
2002,5.02766540185931e-08,122
2003,4.90968668062245e-08,133
2004,4.97170144973604e-08,147
2005,1.01135172807838e-07,283
2006,1.00163416735402e-07,313
2007,1.03204717740089e-07,363
2008,1.00165726839891e-07,417
2009,1.12207673105428e-07,527
2010,1.31737939335075e-07,655
2011,1.49216543137471e-07,927
2012,9.62871806255348e-08,740
2013,1.07800334230619e-07,838
2014,1.05398849822461e-07,964
2015,1.06315554867667e-07,790
2016,9.35900218593641e-08,629
2017,7.85989998641767e-08,639
2018,6.25628978179193e-08,483
2019,7.4822036760791e-08,567
