"Year","Freq","Count"
1800,8.99456042979807e-09,2
1801,7.84572495859948e-09,2
1802,7.04458539650214e-09,2
1803,6.03821605414469e-09,2
1804,7.60683525692838e-09,2
1805,6.44952190066915e-09,2
1806,5.51407475235521e-09,2
1807,7.61306576510127e-09,4
1808,7.61945173621825e-09,4
1809,7.90902421332618e-09,4
1810,8.34489951743020e-09,6
1811,6.443740683894e-09,4
1812,7.39857372192684e-09,6
1813,7.46394631815203e-09,5
1814,5.16224953260393e-09,3
1815,5.46408596147074e-09,3
1816,5.50107762517119e-09,4
1817,5.92194008116767e-09,4
1818,5.86659099077735e-09,4
1819,1.0172168980154e-08,8
1820,1.09863342233142e-08,9
1821,1.45054494289048e-08,12
1822,1.44814999991638e-08,14
1823,1.56872878814036e-08,15
1824,1.5098790154663e-08,17
1825,1.63125402233685e-08,19
1826,1.20001151713924e-08,12
1827,1.15618711271637e-08,12
1828,1.01507132064884e-08,11
1829,1.17211510180277e-08,14
1830,9.94528128104934e-09,14
1831,9.86283056812555e-09,13
1832,9.15124130442178e-09,19
1833,9.35795103312082e-09,14
1834,7.67885835869667e-09,12
1835,5.86464333445542e-09,10
1836,5.34706046899964e-09,9
1837,7.55713515575098e-09,13
1838,9.20316358042429e-09,16
1839,9.20400083132782e-09,17
1840,1.74219648390357e-08,32
1841,2.30992817096265e-08,43
1842,4.50374784529853e-08,85
1843,4.86131211714052e-08,92
1844,4.71473974068231e-08,96
1845,4.69840487706184e-08,110
1846,4.80629693584105e-08,104
1847,4.15387663868902e-08,89
1848,3.7491792916265e-08,80
1849,1.84364868213319e-08,40
1850,1.714178793355e-08,40
1851,1.83889719166227e-08,48
1852,1.99058817524594e-08,53
1853,2.25847875797872e-08,68
1854,2.3018951776445e-08,71
1855,2.27630797227414e-08,64
1856,2.51425499943535e-08,74
1857,2.72694525373294e-08,77
1858,2.90619513533739e-08,79
1859,2.87402536372891e-08,82
1860,2.71061741623819e-08,80
1861,2.70997809113739e-08,67
