"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,6.91262095183934e-10,0
1932,6.91262095183934e-10,0
1933,6.91262095183934e-10,0
1934,6.91262095183934e-10,0
1935,6.91262095183934e-10,0
1936,6.91262095183934e-10,0
1937,6.91262095183934e-10,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,5.78400819303429e-10,0
1947,5.78400819303429e-10,0
1948,1.0834909477556e-09,0
1949,1.0834909477556e-09,0
1950,1.0834909477556e-09,0
1951,1.0834909477556e-09,0
1952,1.0834909477556e-09,1
1953,5.05090128452171e-10,0
1954,5.05090128452171e-10,0
1955,9.74923443562505e-10,0
1956,9.74923443562505e-10,0
1957,9.74923443562505e-10,0
1958,9.74923443562505e-10,0
1959,9.74923443562505e-10,0
1960,9.74923443562505e-10,0
1961,9.74923443562505e-10,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,2.93699731201968e-10,0
1975,2.93699731201968e-10,0
1976,2.93699731201968e-10,0
1977,2.93699731201968e-10,0
1978,2.93699731201968e-10,0
1979,2.93699731201968e-10,0
1980,2.93699731201968e-10,0
1981,1.98894250275876e-10,0
1982,1.98894250275876e-10,0
1983,1.04081142117605e-09,1
1984,1.04081142117605e-09,1
1985,1.19284897832322e-09,1
1986,1.19284897832322e-09,1
1987,1.19284897832322e-09,1
1988,9.9395472804734e-10,1
1989,1.11738283705064e-09,1
1990,2.75465666150459e-10,0
1991,4.99803182967591e-10,1
1992,4.60222312640265e-10,0
1993,5.65762968220339e-10,1
1994,6.71009089562144e-10,1
1995,6.71009089562144e-10,1
1996,7.23632883773259e-10,1
1997,7.85110234760974e-10,1
1998,8.60078813724741e-10,1
1999,1.40760936636778e-09,2
2000,1.89220091579528e-09,4
2001,2.0124027404795e-09,4
2002,2.53610436223057e-09,6
2003,3.00142934315874e-09,8
2004,3.50782381316631e-09,10
2005,3.78525286908499e-09,11
2006,4.57244065824433e-09,14
2007,5.53616822424845e-09,19
2008,6.40368172179416e-09,27
2009,8.00856978550828e-09,37
2010,9.09732845999489e-09,45
2011,1.00562366747318e-08,62
2012,1.20402622058987e-08,92
2013,1.25339843979967e-08,97
2014,1.36988354231577e-08,125
2015,1.49231921423417e-08,110
2016,1.45043309267885e-08,97
2017,1.49032279295191e-08,121
2018,1.5746381465398e-08,121
2019,1.5201645636731e-08,114
