"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,2.00932312058707e-09,1
1820,2.00932312058707e-09,2
1821,2.00932312058707e-09,2
1822,2.00932312058707e-09,2
1823,2.00932312058707e-09,2
1824,2.00932312058707e-09,2
1825,2.00932312058707e-09,2
1826,0,0
1827,0,0
1828,0,0
1829,4.03495395825563e-10,0
1830,4.03495395825563e-10,1
1831,4.03495395825563e-10,1
1832,4.03495395825563e-10,1
1833,4.03495395825563e-10,1
1834,4.03495395825563e-10,1
1835,4.03495395825563e-10,1
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,1.74590183580189e-10,1
1861,1.74590183580189e-10,0
1862,5.99723096580565e-10,1
1863,5.99723096580565e-10,1
1864,5.99723096580565e-10,2
1865,1.06347464168266e-09,3
1866,1.06347464168266e-09,3
1867,8.88884458102471e-10,3
1868,8.88884458102471e-10,3
1869,4.63751545102095e-10,1
1870,4.63751545102095e-10,2
1871,6.18333400354792e-10,2
1872,1.54581855252697e-10,1
1873,1.91739513155653e-10,1
1874,1.91739513155653e-10,1
1875,2.2993131208539e-10,1
1876,3.02926374460912e-10,1
1877,3.02926374460912e-10,1
1878,1.48344519208215e-10,1
1879,1.48344519208215e-10,1
1880,1.11186861305258e-10,0
1881,2.91386208812432e-10,1
1882,2.53194409882695e-10,1
1883,1.80199347507174e-10,1
1884,1.80199347507174e-10,1
1885,1.80199347507174e-10,1
1886,2.06431750661627e-10,1
1887,2.85323167870111e-10,1
1888,1.30797713929606e-10,1
1889,1.55683743674473e-10,1
1890,2.75980762052898e-10,1
1891,3.97716478798113e-10,2
1892,4.40436282682961e-10,2
1893,4.14203879528507e-10,2
1894,4.19277019849039e-10,2
1895,3.9360312628237e-10,2
1896,4.05569629467552e-10,2
1897,2.85272611089127e-10,2
1898,1.63536894343912e-10,1
1899,1.20817090459064e-10,1
1900,1.37980262136596e-10,1
1901,8.65714821258428e-11,1
1902,1.846743412954e-10,1
1903,1.47821808365351e-10,1
1904,1.47821808365351e-10,1
1905,1.47821808365351e-10,1
1906,1.47821808365351e-10,1
1907,1.30658636687819e-10,1
1908,9.81028591695576e-11,1
1909,1.30814268147919e-11,0
1910,1.30814268147919e-11,0
1911,5.28870469243944e-11,1
1912,6.65754187889611e-11,1
1913,6.65754187889611e-11,1
1914,8.04623133993892e-11,1
1915,1.56186280178946e-10,2
1916,1.43104853364154e-10,1
1917,1.56377007573142e-10,2
