"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,8.42607951666098e-10,0
1909,8.42607951666098e-10,0
1910,8.42607951666098e-10,0
1911,8.42607951666098e-10,0
1912,8.42607951666098e-10,0
1913,8.42607951666098e-10,0
1914,8.42607951666098e-10,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,2.90106377016335e-09,1
1957,2.90106377016335e-09,1
1958,2.90106377016335e-09,1
1959,2.90106377016335e-09,1
1960,2.90106377016335e-09,1
1961,2.90106377016335e-09,1
1962,2.90106377016335e-09,1
1963,0,0
1964,0,0
1965,3.09985687912168e-10,0
1966,3.09985687912168e-10,0
1967,3.09985687912168e-10,0
1968,6.62382498057517e-10,0
1969,1.02635113106788e-09,0
1970,1.02635113106788e-09,0
1971,1.38577942771739e-09,1
1972,1.07579373980522e-09,0
1973,1.37723876747486e-09,1
1974,1.68798191297575e-09,1
1975,1.3355851028304e-09,1
1976,1.25594607729746e-09,1
1977,1.78585971407788e-09,1
1978,1.42643141742838e-09,1
1979,1.42643141742838e-09,1
1980,1.12498638975873e-09,1
1981,8.14243244257844e-10,0
1982,8.14243244257844e-10,0
1983,7.08610804954292e-10,0
1984,1.78697168173869e-10,0
1985,1.95418080130492e-09,1
1986,1.95418080130492e-09,2
1987,2.09013679380072e-09,2
1988,2.49217357861653e-09,2
1989,2.75459704252817e-09,3
1990,2.70225277868416e-09,3
1991,2.82148050161674e-09,3
1992,1.2851262673078e-09,1
1993,1.73387470254432e-09,2
1994,2.15809848563049e-09,3
1995,2.28163373115566e-09,3
1996,2.11288849908239e-09,3
1997,2.24848048909923e-09,3
1998,2.19302200209017e-09,3
1999,3.12590099836387e-09,5
2000,3.04376238499263e-09,7
2001,3.10715396269399e-09,7
2002,3.19014288001946e-09,8
2003,3.36949259763638e-09,9
2004,3.47063028316441e-09,10
2005,3.64568683178642e-09,10
2006,2.83676621875324e-09,9
2007,2.81326914145349e-09,10
2008,2.51014542484995e-09,10
2009,2.12337882197845e-09,10
2010,2.06976050584221e-09,10
2011,1.95542678874513e-09,12
2012,1.98444935087646e-09,15
2013,1.72712371388733e-09,13
2014,1.5936961908888e-09,15
2015,1.43888199767771e-09,11
2016,1.36709015536545e-09,9
2017,1.33896060905414e-09,11
2018,1.25850432297625e-09,10
2019,1.10439579703581e-09,8
