"Year","Freq","Count"
1800,1.05134678740626e-09,0
1801,8.41077429925008e-10,0
1802,7.0089785827084e-10,0
1803,6.00769592803577e-10,0
1804,6.00769592803577e-10,0
1805,6.00769592803577e-10,0
1806,2.58550101962994e-10,0
1807,4.67771345467684e-10,0
1808,4.67771345467684e-10,0
1809,4.67771345467684e-10,0
1810,4.67771345467684e-10,0
1811,4.67771345467684e-10,0
1812,9.45187864484102e-10,1
1813,6.86637762521108e-10,0
1814,4.77416519016418e-10,0
1815,1.05683861661987e-09,1
1816,1.05683861661987e-09,1
1817,1.05683861661987e-09,1
1818,1.05683861661987e-09,1
1819,5.79422097603453e-10,0
1820,5.79422097603453e-10,0
1821,7.07976352146541e-10,1
1822,1.28554254543088e-10,0
1823,1.28554254543088e-10,0
1824,2.62674271223062e-10,0
1825,2.62674271223062e-10,0
1826,4.99670757151246e-10,1
1827,4.99670757151246e-10,1
1828,5.91775120969576e-10,1
1829,6.62049399429472e-10,1
1830,6.62049399429472e-10,1
1831,5.27929382749497e-10,1
1832,5.27929382749497e-10,1
1833,2.90932896821313e-10,0
1834,2.90932896821313e-10,0
1835,1.54057679311949e-10,0
1836,1.58844580346239e-10,0
1837,2.3628599077341e-10,0
1838,2.3628599077341e-10,0
1839,2.3628599077341e-10,0
1840,2.3628599077341e-10,0
1841,2.3628599077341e-10,0
1842,2.13318029906873e-10,0
1843,1.38256850412688e-10,0
1844,6.08154399855160e-11,0
1845,6.08154399855160e-11,0
1846,6.08154399855160e-11,0
1847,6.08154399855160e-11,0
1848,6.08154399855160e-11,0
1849,0,0
1850,0,0
1851,4.64285950954998e-11,0
1852,9.69901658987027e-11,0
1853,9.69901658987027e-11,0
1854,9.69901658987027e-11,0
1855,9.69901658987027e-11,0
1856,9.69901658987027e-11,0
1857,1.4512438869677e-10,0
1858,9.86957936012699e-11,0
1859,4.8134222798067e-11,0
1860,4.8134222798067e-11,0
1861,4.8134222798067e-11,0
1862,4.8134222798067e-11,0
1863,4.8134222798067e-11,0
1864,0,0
1865,0,0
1866,4.42396199039154e-11,0
1867,4.42396199039154e-11,0
1868,4.42396199039154e-11,0
1869,4.42396199039154e-11,0
1870,4.42396199039154e-11,0
1871,4.42396199039154e-11,0
1872,4.42396199039154e-11,0
1873,3.9008752577325e-11,0
1874,3.9008752577325e-11,0
1875,3.9008752577325e-11,0
1876,7.73407369893318e-11,0
1877,1.12292409497934e-10,0
1878,1.12292409497934e-10,0
1879,1.12292409497934e-10,0
1880,2.37717076182317e-10,1
1881,2.6928267155795e-10,1
1882,2.6928267155795e-10,1
1883,2.63073315116229e-10,1
1884,3.50165271778557e-10,2
1885,3.50165271778557e-10,2
1886,3.77753887694153e-10,2
1887,2.13320468432445e-10,1
1888,2.35760557901595e-10,1
1889,3.92785934729848e-10,2
1890,3.60663306759561e-10,2
1891,2.64224727415068e-10,1
1892,2.64224727415068e-10,1
1893,2.36636111499473e-10,1
1894,2.58727884354976e-10,1
1895,2.04722199510193e-10,1
1896,4.76968226819403e-11,0
1897,1.22003843535826e-10,1
1898,2.04627806762606e-10,1
1899,2.41055619909503e-10,2
1900,2.41055619909503e-10,2
1901,2.18963847053999e-10,2
1902,2.18963847053999e-10,2
1903,2.18963847053999e-10,2
1904,2.08071785991391e-10,2
1905,9.98427729381746e-11,1
1906,7.89299459125203e-11,1
1907,9.35801198436487e-11,1
1908,1.34753486147332e-10,1
1909,1.76096510389507e-10,2
1910,1.76096510389507e-10,2
1911,1.26659482505406e-10,1
1912,1.55487698113735e-10,2
1913,1.68568549991604e-10,2
1914,1.53918376060475e-10,2
1915,1.28683732320794e-10,1
1916,1.02392571604033e-10,1
1917,1.16358305926997e-10,1
1918,2.17422286523978e-10,2
1919,2.45417057707721e-10,2
1920,2.40022874591667e-10,2
1921,2.96246091150262e-10,3
1922,3.76912552755927e-10,4
1923,4.60074465627855e-10,3
1924,4.4610873130489e-10,2
1925,4.23087519383993e-10,2
1926,4.12110462818685e-10,2
1927,7.75461232925347e-10,4
1928,7.87666469746564e-10,5
1929,1.2220630202231e-09,8
1930,1.42335056637791e-09,9
1931,1.76437970186453e-09,11
1932,1.88514821610118e-09,11
1933,2.09414103121855e-09,11
1934,1.84239585096105e-09,10
1935,2.06285771995964e-09,12
1936,1.55279341765687e-09,9
1937,1.43283143484916e-09,9
1938,1.15705905174528e-09,7
1939,9.44269836925368e-10,6
1940,6.89431091581229e-10,4
1941,5.54623846849012e-10,4
1942,2.65733524470616e-10,2
1943,3.30609400966964e-10,2
1944,2.07984028808918e-10,1
1945,3.11652063283192e-10,2
1946,3.61296375753614e-10,2
1947,5.76537056191333e-10,4
1948,6.62037060093569e-10,5
1949,1.05317882986051e-09,9
1950,1.25500506812212e-09,11
1951,1.28083659353287e-09,11
1952,1.48832657904346e-09,12
1953,1.51712844965417e-09,13
1954,1.47607923503149e-09,13
1955,1.59349873772387e-09,14
1956,1.40437706305388e-09,13
1957,1.51179298048452e-09,15
1958,1.95272702174787e-09,19
1959,2.15230313234592e-09,23
1960,2.67736499934676e-09,30
1961,3.44864131894353e-09,41
1962,4.02105530023749e-09,50
1963,4.39345889926715e-09,59
1964,4.80780131282118e-09,60
1965,5.24496567507114e-09,73
1966,5.45155813745448e-09,78
1967,5.76789669102081e-09,90
1968,5.46009989106842e-09,87
1969,5.87869218284956e-09,94
1970,7.12832636172246e-09,114
1971,7.82267956760713e-09,125
1972,8.49657935675374e-09,134
1973,9.0346514951862e-09,145
1974,9.39396295672269e-09,148
1975,1.07755573491852e-08,175
1976,1.12049907269318e-08,192
1977,1.08577924330071e-08,188
1978,1.06025103914696e-08,184
1979,1.01625387212621e-08,178
1980,1.0487616897941e-08,184
1981,1.11311681142264e-08,193
1982,1.20839121209304e-08,210
1983,1.25480596667251e-08,226
1984,1.37982701415534e-08,255
1985,1.42064042632902e-08,271
1986,1.63622814424486e-08,312
1987,1.72042856627641e-08,330
1988,1.86155843240332e-08,363
1989,1.89695805016424e-08,388
1990,2.59894816263222e-08,549
1991,2.67901086984022e-08,546
1992,2.97398440670631e-08,631
1993,3.02990998218646e-08,642
1994,3.49062768506349e-08,750
1995,3.62157133463762e-08,804
1996,3.85363356002596e-08,844
1997,3.41862658870857e-08,742
1998,3.61359111978559e-08,798
1999,3.86014822626298e-08,864
2000,4.05174827022847e-08,994
2001,3.9177846518555e-08,957
2002,4.14168878637433e-08,1077
2003,4.33269312411737e-08,1177
2004,4.38785594921879e-08,1220
2005,4.42890001419092e-08,1163
2006,4.61361002219401e-08,1261
2007,4.78134859879401e-08,1335
2008,4.99260424550016e-08,1415
2009,5.18802436626022e-08,1419
2010,5.38664449057607e-08,1413
2011,5.71505554725864e-08,1521
2012,5.83594431926729e-08,1980
2013,6.07257404500183e-08,2089
2014,6.40503917423826e-08,1942
2015,6.83581218515115e-08,1802
2016,6.62680818592458e-08,1744
2017,6.61794109929614e-08,1792
2018,6.73849854859743e-08,1745
2019,7.18120579459858e-08,1613
