"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,1.4054855691979e-10,0
1830,1.4054855691979e-10,0
1831,1.4054855691979e-10,0
1832,1.4054855691979e-10,0
1833,1.4054855691979e-10,0
1834,1.4054855691979e-10,0
1835,1.4054855691979e-10,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,1.69460049167672e-10,0
1862,1.69460049167672e-10,0
1863,1.69460049167672e-10,0
1864,1.69460049167672e-10,0
1865,1.69460049167672e-10,0
1866,1.69460049167672e-10,1
1867,3.42309862994788e-10,1
1868,1.72849813827116e-10,1
1869,1.72849813827116e-10,1
1870,1.72849813827116e-10,1
1871,1.72849813827116e-10,1
1872,2.13801528069015e-10,1
1873,2.13801528069015e-10,1
1874,4.09517142418991e-11,0
1875,2.01411819762092e-10,1
1876,2.01411819762092e-10,1
1877,2.01411819762092e-10,1
1878,2.01411819762092e-10,1
1879,1.60460105520193e-10,1
1880,5.22213633447066e-10,2
1881,8.06303991827763e-10,3
1882,6.4584388630757e-10,3
1883,8.06457028141543e-10,3
1884,8.97989746054658e-10,4
1885,9.27013021900791e-10,4
1886,9.54601637816386e-10,4
1887,6.48116046941816e-10,3
1888,4.18031373405903e-10,2
1889,5.22714960601459e-10,3
1890,4.63284579350314e-10,2
1891,3.71751861437199e-10,2
1892,4.10143333977915e-10,2
1893,5.20924747782203e-10,3
1894,6.20299220718426e-10,3
1895,6.72149574094354e-10,4
1896,5.86846412734384e-10,4
1897,5.78547432183996e-10,4
1898,5.78547432183996e-10,4
1899,5.65774403517492e-10,4
1900,4.63545582870698e-10,4
1901,3.08903172882172e-10,2
1902,2.20265424947083e-10,2
1903,2.64641578492534e-10,2
1904,3.30295197938289e-10,3
1905,3.45542060242732e-10,3
1906,3.37445298886114e-10,3
1907,4.91756346952611e-10,4
1908,5.19205257160887e-10,5
1909,7.22483096166864e-10,7
1910,7.00048185095107e-10,7
1911,6.53334240874326e-10,7
1912,7.10157916599436e-10,7
1913,9.35273430131239e-10,10
1914,9.78685006052566e-10,10
1915,1.12656204801339e-09,11
1916,1.0264808269251e-09,10
1917,1.30637104903527e-09,13
1918,1.43901165784919e-09,13
1919,1.63685030708199e-09,15
1920,1.52760141936786e-09,15
1921,1.46240723598272e-09,14
