"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,4.21791807830069e-10,0
1915,4.21791807830069e-10,0
1916,4.21791807830069e-10,0
1917,4.21791807830069e-10,0
1918,1.45635922369333e-09,0
1919,1.45635922369333e-09,0
1920,2.67028748319425e-09,1
1921,5.29152689919345e-09,1
1922,5.29152689919345e-09,2
1923,5.29152689919345e-09,1
1924,5.29152689919345e-09,1
1925,4.25695948333019e-09,1
1926,5.42752725302924e-09,1
1927,4.21359899352832e-09,1
1928,1.17056776969905e-09,0
1929,1.88557176221999e-09,0
1930,2.73330412271987e-09,1
1931,2.73330412271987e-09,1
1932,2.73330412271987e-09,1
1933,2.30107507651464e-09,0
1934,2.30107507651464e-09,0
1935,2.30107507651464e-09,0
1936,4.04784916696599e-09,1
1937,3.20011680646611e-09,1
1938,3.20011680646611e-09,1
1939,7.06227032409856e-09,1
1940,7.40441143319361e-09,1
1941,7.40441143319361e-09,1
1942,8.30197796223128e-09,1
1943,7.0844769415958e-09,1
1944,7.68430963304922e-09,1
1945,8.27470587288254e-09,1
1946,6.24553133020202e-09,1
1947,6.18584193391923e-09,1
1948,1.04617094669785e-08,3
1949,1.01386143924742e-08,2
1950,9.96672027448702e-09,3
1951,9.89940193310953e-09,3
1952,9.30900569327621e-09,5
1953,8.56693896774833e-09,2
1954,1.06544832004626e-08,3
1955,8.96381273968976e-09,3
1956,1.61255113389253e-08,4
1957,1.59520731227555e-08,4
1958,1.58241369531607e-08,4
1959,1.58241369531607e-08,5
1960,1.47332247037367e-08,5
1961,1.48663382873845e-08,5
1962,1.2281141215098e-08,4
1963,6.81734189735193e-09,2
1964,6.57305939836103e-09,2
1965,6.16848121787988e-09,2
1966,9.02177723004018e-09,3
1967,1.08566734015523e-08,5
1968,1.00820029150636e-08,5
1969,1.00820029150636e-08,4
1970,9.99163532863382e-09,5
1971,1.47283978029528e-08,6
1972,1.50874558878046e-08,6
1973,1.40428300416622e-08,5
1974,1.3140163274932e-08,5
1975,1.15656707385828e-08,5
1976,1.21343299535377e-08,6
1977,9.9523268039446e-09,5
1978,7.50214071817571e-09,4
1979,7.84589612326922e-09,4
1980,6.48186377587885e-09,3
1981,5.97134576705928e-09,3
1982,6.64941758797357e-09,4
1983,7.15294135034128e-09,5
1984,8.31344301336198e-09,6
1985,8.11613366989507e-09,6
1986,7.86299070298924e-09,6
1987,7.41835288436172e-09,6
1988,7.53269053482037e-09,7
1989,6.74960385995048e-09,6
1990,6.05647960354767e-09,6
1991,4.89597794052697e-09,5
1992,2.74987217124029e-09,3
1993,2.74895008343736e-09,3
1994,3.30912985901932e-09,4
1995,3.50888169314041e-09,4
1996,3.3773589639249e-09,4
1997,3.39121759245537e-09,4
1998,3.9651407236972e-09,5
1999,3.71891971186398e-09,6
2000,3.63678109849275e-09,8
2001,3.79610673054539e-09,8
2002,4.02386060979357e-09,10
2003,3.45912227433282e-09,9
2004,3.67134251571295e-09,11
2005,3.540953006999e-09,10
2006,3.61295290510607e-09,11
2007,3.38930672416637e-09,12
2008,2.87580337321458e-09,12
2009,2.06011150995421e-09,10
2010,2.06052287930549e-09,10
2011,1.76632135901705e-09,11
2012,1.62890014175434e-09,12
2013,1.43797446965672e-09,11
2014,1.57459112415381e-09,14
2015,2.28877483632317e-09,17
2016,2.70342134392873e-09,18
2017,3.04733410727565e-09,25
2018,3.22149042997211e-09,25
2019,3.49116632825108e-09,26
