"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,1.40462768400645e-10,0
1824,1.40462768400645e-10,0
1825,2.67079580673624e-10,0
1826,2.67079580673624e-10,0
1827,2.67079580673624e-10,0
1828,2.67079580673624e-10,0
1829,4.07628137593414e-10,0
1830,2.67165369192769e-10,0
1831,2.67165369192769e-10,0
1832,1.4054855691979e-10,0
1833,5.52939884355754e-10,1
1834,5.52939884355754e-10,1
1835,1.47455726993785e-09,2
1836,1.33400871301806e-09,2
1837,1.33400871301806e-09,2
1838,1.33400871301806e-09,2
1839,1.33400871301806e-09,3
1840,9.21617385582100e-10,2
1841,9.21617385582100e-10,2
1842,2.43261759942064e-10,0
1843,5.711343778866e-10,1
1844,7.04700091931037e-10,1
1845,7.71438857238849e-10,2
1846,7.71438857238849e-10,2
1847,3.43807909919391e-09,7
1848,4.14901885070762e-09,9
1849,4.01323617195613e-09,9
1850,3.6853635540116e-09,9
1851,3.55179783996716e-09,9
1852,3.53562064546255e-09,9
1853,3.72865800933399e-09,11
1854,1.06201776737892e-09,3
1855,6.13586744905145e-10,2
1856,5.06107663714569e-10,1
1857,5.06107663714569e-10,1
1858,5.06107663714569e-10,1
1859,5.16475481430031e-10,1
1860,4.45428543256148e-10,1
1861,4.45428543256148e-10,1
1862,4.61511170549552e-10,1
1863,5.0924904769291e-10,1
1864,5.0924904769291e-10,1
1865,8.18834896712925e-10,2
1866,7.5790550819426e-10,2
1867,6.79127535953482e-10,2
1868,1.26167957430796e-09,4
1869,1.85397773720476e-09,6
1870,2.01742216979614e-09,7
1871,3.55931259465869e-09,11
1872,3.33163017412248e-09,12
1873,3.52667393304402e-09,12
1874,4.71542362696325e-09,16
1875,4.29333169412896e-09,15
1876,3.80576202694906e-09,14
1877,3.80428974433578e-09,14
1878,2.58896755621153e-09,9
1879,2.71654700321834e-09,10
1880,2.85037008282022e-09,12
1881,1.80780151562817e-09,7
1882,1.84179887611055e-09,7
1883,1.4906016520306e-09,6
1884,1.67753342367976e-09,8
1885,1.40901173863371e-09,6
1886,1.97201011670994e-09,9
1887,1.75367915229112e-09,8
1888,1.8883196732457e-09,9
1889,2.71452715662677e-09,14
1890,2.91006573600277e-09,15
1891,2.64144918636435e-09,14
1892,4.4710155736435e-09,24
1893,3.76771933493661e-09,21
1894,3.78973409796503e-09,21
1895,3.86795295792553e-09,24
1896,3.4480812015149e-09,21
1897,3.61053184175627e-09,23
1898,3.95149898119967e-09,26
1899,2.48280589341755e-09,18
1900,2.90152721293957e-09,22
1901,3.06030023941187e-09,24
1902,3.29512401888086e-09,26
1903,2.86966141722316e-09,22
1904,2.74906314180954e-09,23
