"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,5.34483441632411e-10,0
1949,5.34483441632411e-10,0
1950,5.34483441632411e-10,0
1951,5.34483441632411e-10,0
1952,5.34483441632411e-10,0
1953,5.34483441632411e-10,0
1954,5.34483441632411e-10,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,3.52396810145349e-10,0
1969,3.52396810145349e-10,0
1970,3.52396810145349e-10,0
1971,3.52396810145349e-10,0
1972,3.52396810145349e-10,0
1973,3.52396810145349e-10,0
1974,3.52396810145349e-10,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,1.49890179633262e-10,0
1987,1.49890179633262e-10,0
1988,1.49890179633262e-10,0
1989,2.8110191158908e-10,0
1990,2.8110191158908e-10,0
1991,4.00329634521666e-10,0
1992,4.00329634521666e-10,0
1993,2.50439454888404e-10,0
1994,2.50439454888404e-10,0
1995,2.50439454888404e-10,0
1996,1.19227722932586e-10,0
1997,3.15686397657698e-10,0
1998,1.96458674725112e-10,0
1999,4.30860347400142e-10,1
2000,5.35606011923103e-10,1
2001,5.83573039098744e-10,1
2002,5.83573039098744e-10,1
2003,7.20087013826389e-10,2
2004,5.63970846213989e-10,2
2005,5.98088816567659e-10,2
2006,5.14973714465279e-10,2
2007,4.38820779316959e-10,2
2008,4.36631986519157e-10,2
2009,4.73597710651649e-10,2
2010,4.46788552583526e-10,2
2011,4.53086459224166e-10,3
2012,4.38100514199569e-10,3
2013,4.348809467298e-10,3
2014,5.11130828138663e-10,5
2015,5.57371169060009e-10,4
2016,6.70407947410214e-10,5
2017,6.54153652542474e-10,5
2018,7.19687803796276e-10,6
2019,8.66128710419467e-10,7
