"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,7.57814366814102e-11,0
1840,6.04883214944912e-10,1
1841,6.04883214944912e-10,1
1842,6.04883214944912e-10,1
1843,6.04883214944912e-10,1
1844,6.04883214944912e-10,1
1845,6.04883214944912e-10,1
1846,5.29101778263501e-10,1
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,5.25017450149688e-11,0
1856,5.25017450149688e-11,0
1857,5.25017450149688e-11,0
1858,2.25312304527999e-10,1
1859,2.25312304527999e-10,1
1860,2.25312304527999e-10,1
1861,2.25312304527999e-10,1
1862,1.72810559513031e-10,0
1863,1.72810559513031e-10,0
1864,1.72810559513031e-10,0
1865,4.42265509928827e-11,0
1866,4.42265509928827e-11,0
1867,4.42265509928827e-11,0
1868,4.42265509928827e-11,0
1869,4.42265509928827e-11,0
1870,4.42265509928827e-11,0
1871,6.12291447702315e-10,2
1872,5.68064896709432e-10,2
1873,5.68064896709432e-10,2
1874,5.68064896709432e-10,2
1875,6.0817992308948e-10,2
1876,6.0817992308948e-10,2
1877,6.0817992308948e-10,2
1878,4.01150263800482e-11,0
1879,4.01150263800482e-11,0
1880,4.01150263800482e-11,0
1881,1.03246217131314e-10,0
1882,6.3131190751266e-11,0
1883,6.3131190751266e-11,0
1884,9.36420980439984e-11,0
1885,9.36420980439984e-11,0
1886,9.36420980439984e-11,0
1887,9.36420980439984e-11,0
1888,3.05109072927325e-11,0
1889,3.05109072927325e-11,0
1890,3.05109072927325e-11,0
1891,0,0
1892,2.24715821347691e-11,0
1893,2.24715821347691e-11,0
1894,2.24715821347691e-11,0
1895,2.24715821347691e-11,0
1896,2.24715821347691e-11,0
1897,2.24715821347691e-11,0
1898,2.24715821347691e-11,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,2.28094844599371e-11,0
1929,9.86668762565606e-11,1
1930,9.86668762565606e-11,1
1931,9.86668762565606e-11,1
1932,9.86668762565606e-11,1
1933,1.2183403492421e-10,1
1934,1.2183403492421e-10,1
