"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,1.93107675881622e-09,0
1940,4.09203642399396e-09,1
1941,8.00690789861035e-09,1
1942,8.90447442764802e-09,1
1943,1.01487514899848e-08,1
1944,1.25480822557985e-08,2
1945,1.25480822557985e-08,2
1946,1.06170054969823e-08,2
1947,8.45604583180456e-09,2
1948,4.54117435718818e-09,1
1949,3.64360782815051e-09,1
1950,2.3993307658137e-09,1
1951,0,0
1952,0,0
1953,1.63636837413605e-09,0
1954,1.63636837413605e-09,0
1955,3.18748665557272e-09,1
1956,3.67099728393327e-09,1
1957,3.67099728393327e-09,1
1958,4.48015364489558e-09,1
1959,4.48015364489558e-09,1
1960,2.84378527075952e-09,1
1961,2.84378527075952e-09,1
1962,1.29266698932286e-09,0
1963,1.94534172897371e-09,1
1964,1.94534172897371e-09,1
1965,1.13618536801141e-09,0
1966,1.13618536801141e-09,0
1967,1.13618536801141e-09,0
1968,1.13618536801141e-09,1
1969,1.86412263403213e-09,1
1970,7.27937266020717e-10,0
1971,1.08736556267023e-09,0
1972,1.08736556267023e-09,0
1973,1.08736556267023e-09,0
1974,1.70885185367199e-09,1
1975,2.00628025304184e-09,1
1976,1.27834298702112e-09,1
1977,1.27834298702112e-09,1
1978,9.1891469037161e-10,0
1979,9.1891469037161e-10,0
1980,1.36355250899913e-09,1
1981,9.52921915978574e-10,1
1982,6.55493516608731e-10,0
1983,1.01288785295647e-09,1
1984,1.34445976573971e-09,1
1985,1.82868257044991e-09,1
1986,3.32758431920155e-09,3
1987,4.1065504330362e-09,4
1988,4.02970699666026e-09,4
1989,5.47303600059327e-09,5
1990,5.49470037723511e-09,6
1991,6.11695023205223e-09,6
1992,6.11098622498625e-09,7
1993,5.39739422203819e-09,6
1994,4.50989816126933e-09,5
1995,4.79634355248544e-09,6
1996,3.82140571567443e-09,5
1997,4.49012658403675e-09,6
1998,4.81168949525593e-09,7
1999,4.91943488722946e-09,7
2000,6.8575123714419e-09,15
2001,6.90514071715371e-09,15
2002,7.19467081546275e-09,17
2003,7.13582154873319e-09,19
2004,7.9841397858184e-09,24
2005,7.08405278088924e-09,20
2006,7.52679729654204e-09,23
2007,5.11793009162963e-09,18
2008,5.19197621800289e-09,22
2009,4.88861144422513e-09,23
2010,5.59440184653783e-09,28
2011,5.90595016542699e-09,37
2012,5.95155704084606e-09,46
2013,5.24009477079598e-09,41
2014,5.48473533653774e-09,50
2015,5.33981614877658e-09,40
2016,5.45820192218319e-09,37
2017,5.06668122272439e-09,41
2018,2.98931287501247e-09,23
2019,3.00005813247406e-09,23
