"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,1.03871000689537e-09,0
1806,1.03871000689537e-09,0
1807,1.03871000689537e-09,0
1808,1.03871000689537e-09,1
1809,1.03871000689537e-09,1
1810,1.03871000689537e-09,1
1811,1.03871000689537e-09,1
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,7.02742784598951e-11,0
1830,7.02742784598951e-11,0
1831,7.02742784598951e-11,0
1832,7.02742784598951e-11,0
1833,7.02742784598951e-11,0
1834,7.02742784598951e-11,0
1835,7.02742784598951e-11,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,2.09932864742817e-10,0
1842,2.09932864742817e-10,0
1843,2.09932864742817e-10,0
1844,2.09932864742817e-10,0
1845,2.09932864742817e-10,0
1846,2.09932864742817e-10,0
1847,2.09932864742817e-10,0
1848,5.46876750234e-11,0
1849,5.46876750234e-11,0
1850,5.46876750234e-11,0
1851,5.46876750234e-11,0
1852,2.06372387433009e-10,1
1853,4.95928449100498e-10,1
1854,4.95928449100498e-10,2
1855,4.41240774077098e-10,1
1856,4.90939578672618e-10,1
1857,4.90939578672618e-10,1
1858,6.06146613061195e-10,2
1859,4.54461900651586e-10,1
1860,1.50680056130805e-09,4
1861,1.50680056130805e-09,4
1862,1.50680056130805e-09,4
1863,1.45710175671253e-09,3
1864,1.45710175671253e-09,4
1865,1.34189472232395e-09,3
1866,1.34189472232395e-09,4
1867,4.32124534567789e-11,0
1868,1.32835841532802e-10,0
1869,2.12007613845496e-10,1
1870,2.12007613845496e-10,1
1871,2.52583676196849e-10,1
1872,2.52583676196849e-10,1
1873,2.52583676196849e-10,1
1874,2.88852652114662e-10,1
1875,5.20149479044107e-10,2
1876,8.24297558781646e-10,3
1877,8.94200903798849e-10,3
1878,2.01475638553613e-09,7
1879,2.11949782724652e-09,8
1880,2.41547797834902e-09,10
1881,2.55695571263878e-09,10
1882,2.62495044153369e-09,11
1883,2.53073425112874e-09,11
1884,2.6133854425752e-09,12
1885,1.74248665694789e-09,8
1886,1.72051106496683e-09,8
1887,1.59033472502124e-09,7
1888,1.45038408664152e-09,7
1889,1.19232362871813e-09,6
1890,9.28515657218552e-10,5
1891,8.01566170581326e-10,4
1892,6.46162904928614e-10,4
1893,9.09322129498997e-10,5
1894,7.87701864053097e-10,4
1895,7.49035754056747e-10,5
1896,1.31587662195136e-09,8
1897,1.71784629775042e-09,11
1898,1.69224124792398e-09,11
1899,1.61205347483571e-09,12
1900,1.32034021414564e-09,10
1901,1.34470341607771e-09,11
1902,1.38845245221754e-09,11
1903,7.22635388036455e-10,6
1904,4.06346203708972e-10,3
1905,5.74061688066571e-10,5
1906,6.7456982955865e-10,6
