"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,1.21373454144345e-09,0
1959,1.21373454144345e-09,0
1960,1.21373454144345e-09,0
1961,1.21373454144345e-09,0
1962,1.99953466482685e-09,1
1963,1.99953466482685e-09,1
1964,2.32686577942129e-09,1
1965,1.11313123797783e-09,0
1966,1.74719699026176e-09,1
1967,2.66464507601784e-09,1
1968,2.66464507601784e-09,1
1969,1.87884495263445e-09,1
1970,5.87918406022173e-09,3
1971,5.55185294562729e-09,2
1972,5.91091103047907e-09,2
1973,5.87973533353444e-09,2
1974,4.96228724777836e-09,2
1975,4.96228724777836e-09,2
1976,6.38393531688613e-09,3
1977,2.38359620929884e-09,1
1978,2.62869943273054e-09,1
1979,2.26964134787875e-09,1
1980,1.66675129253946e-09,1
1981,2.08846268850189e-09,1
1982,2.67734658253106e-09,2
1983,2.86397304284845e-09,2
1984,3.36133091202332e-09,2
1985,4.08467328215169e-09,3
1986,4.23456346178495e-09,3
1987,5.05029938503908e-09,4
1988,4.62858798907665e-09,4
1989,4.03970409504747e-09,4
1990,2.81048828654207e-09,3
1991,3.26695216910723e-09,3
1992,2.41807127495822e-09,3
1993,2.82911663144044e-09,3
1994,2.12541666806081e-09,3
1995,4.22770480528507e-09,5
1996,5.07080886803988e-09,6
1997,4.95369504146684e-09,6
1998,4.25495022549072e-09,6
1999,7.35840845398985e-09,11
2000,6.84984575013584e-09,15
2001,6.83374384461263e-09,15
2002,5.13716298468557e-09,12
2003,1.12107665095618e-08,30
2004,1.22397818111012e-08,36
2005,1.32470698022136e-08,37
2006,1.05384212269387e-08,33
2007,1.12580520897751e-08,40
2008,1.17572350942309e-08,49
2009,1.13515278169337e-08,53
2010,7.59797568115696e-09,38
2011,7.4108385499689e-09,46
2012,6.28239779643103e-09,48
2013,2.92049151727282e-08,227
2014,3.05821849986922e-08,280
2015,3.00790865151842e-08,223
2016,3.01165871408049e-08,202
2017,3.14456703037758e-08,256
2018,3.61894520739536e-08,279
2019,4.50024477890998e-08,341
