"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,1.69460049167672e-10,0
1862,2.25178320434338e-10,1
1863,2.25178320434338e-10,1
1864,2.25178320434338e-10,1
1865,2.25178320434338e-10,1
1866,2.25178320434338e-10,1
1867,2.25178320434338e-10,1
1868,5.57182712666661e-11,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,2.59276623980144e-10,1
1883,3.23521879920717e-10,1
1884,3.23521879920717e-10,1
1885,3.23521879920717e-10,1
1886,3.23521879920717e-10,1
1887,4.06423787481712e-10,2
1888,4.06423787481712e-10,2
1889,1.73318060300457e-10,1
1890,2.60846941269044e-10,1
1891,2.60846941269044e-10,1
1892,2.83318523403813e-10,2
1893,3.06380195023794e-10,2
1894,2.45570060318302e-10,1
1895,3.09083683250729e-10,2
1896,3.02293212287427e-10,2
1897,1.50519075378267e-10,1
1898,1.68557243559623e-10,1
1899,3.64652540306233e-10,3
1900,4.50014499870604e-10,3
1901,6.33562962014191e-10,5
1902,5.70049339081764e-10,4
1903,5.66608058091437e-10,4
1904,6.30023017882715e-10,5
1905,6.72972298919129e-10,6
1906,4.69920406158992e-10,4
1907,3.90797122836898e-10,4
1908,5.55717168710628e-10,5
1909,5.69498176791353e-10,5
1910,6.36202368564653e-10,6
1911,6.14721206477447e-10,6
1912,7.69945377295958e-10,8
1913,8.25919983198682e-10,9
1914,8.40469103044076e-10,9
1915,5.33663712427262e-10,5
1916,5.19882704346537e-10,5
1917,4.7913657168814e-10,5
1918,4.80343491173128e-10,4
1919,3.067491112309e-10,3
1920,3.74469448505277e-10,4
1921,3.8684319735622e-10,4
1922,3.23088307100214e-10,3
1923,3.23088307100214e-10,2
1924,1.23363069065574e-09,6
1925,1.19048997346668e-09,7
1926,1.21664162871277e-09,7
1927,1.19112358865081e-09,7
1928,1.18051934101209e-09,7
1929,1.20580513827763e-09,7
1930,1.26025992419621e-09,8
1931,1.01611158772766e-09,6
1932,1.08704132600097e-09,6
