"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,4.41317236722836e-10,0
1829,4.41317236722836e-10,1
1830,4.41317236722836e-10,1
1831,4.41317236722836e-10,1
1832,4.41317236722836e-10,1
1833,4.41317236722836e-10,1
1834,4.41317236722836e-10,1
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,2.76339685261513e-11,0
1888,2.76339685261513e-11,0
1889,2.76339685261513e-11,0
1890,2.76339685261513e-11,0
1891,2.76339685261513e-11,0
1892,2.76339685261513e-11,0
1893,2.76339685261513e-11,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,1.82139065734483e-11,0
1900,1.82139065734483e-11,0
1901,1.82139065734483e-11,0
1902,1.82139065734483e-11,0
1903,1.82139065734483e-11,0
1904,8.16288663647263e-11,1
1905,1.5786317887821e-10,1
1906,1.39649272304762e-10,1
1907,1.39649272304762e-10,1
1908,1.39649272304762e-10,1
1909,1.67211288466212e-10,2
1910,1.67211288466212e-10,2
1911,1.03796328674934e-10,1
1912,2.756201616145e-11,0
1913,2.756201616145e-11,0
1914,2.756201616145e-11,0
1915,2.756201616145e-11,0
1916,0,0
1917,0,0
1918,1.43802390630197e-11,0
1919,1.43802390630197e-11,0
1920,1.43802390630197e-11,0
1921,1.43802390630197e-11,0
1922,1.43802390630197e-11,0
1923,1.43802390630197e-11,0
1924,1.43802390630197e-11,0
1925,0,0
1926,4.58459302267654e-11,0
1927,6.85843088670574e-11,0
1928,1.82631731166743e-10,1
1929,2.07917528432284e-10,1
1930,2.07917528432284e-10,1
1931,2.60383548056353e-10,2
1932,2.60383548056353e-10,1
1933,2.14537617829588e-10,1
1934,1.91799239189296e-10,1
1935,7.77518168896104e-11,0
1936,5.24660196240693e-11,0
1937,5.24660196240693e-11,0
1938,0,0
1939,0,0
1940,2.57932623672273e-11,0
1941,2.57932623672273e-11,0
1942,2.57932623672273e-11,0
1943,2.57932623672273e-11,0
1944,2.57932623672273e-11,0
1945,2.57932623672273e-11,0
1946,2.57932623672273e-11,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,4.50222755902071e-11,1
1962,5.52240316967608e-11,1
1963,5.52240316967608e-11,1
1964,6.42173417616679e-11,1
1965,6.42173417616679e-11,1
1966,8.18034846210886e-11,1
1967,8.18034846210886e-11,1
1968,3.67812090308815e-11,1
1969,3.55563386273643e-11,1
1970,3.55563386273643e-11,1
1971,2.65630285624572e-11,0
1972,2.65630285624572e-11,0
1973,8.97688570303653e-12,0
1974,1.71243892082324e-11,0
1975,1.71243892082324e-11,0
1976,8.14750350519589e-12,0
1977,1.61739143903336e-11,0
1978,2.4333842976335e-11,0
1979,2.4333842976335e-11,0
1980,2.4333842976335e-11,0
1981,1.61863394711391e-11,0
1982,1.61863394711391e-11,0
1983,1.61863394711391e-11,0
1984,8.15992858600139e-12,0
1985,3.61703762179794e-11,1
1986,3.61703762179794e-11,1
1987,3.61703762179794e-11,1
1988,4.31017855335407e-11,1
1989,4.97537968166143e-11,1
1990,6.30687203850844e-11,1
1991,6.30687203850844e-11,1
1992,2.68983441671049e-11,1
1993,2.68983441671049e-11,1
1994,3.3401474046941e-11,1
1995,2.64700647313796e-11,1
1996,2.61200931915363e-11,1
1997,1.28051696230662e-11,0
1998,1.28051696230662e-11,0
1999,1.28051696230662e-11,0
2000,1.28051696230662e-11,0
2001,6.30203974323023e-12,0
2002,1.16705935590148e-11,0
2003,5.36855381578454e-12,0
2004,3.06012844032898e-11,1
2005,3.06012844032898e-11,1
2006,3.57478565598297e-11,1
2007,4.11150176404806e-11,1
2008,4.11150176404806e-11,1
2009,3.57464638246961e-11,1
2010,5.21220492361823e-11,1
2011,2.68893186486771e-11,1
2012,3.75690336974964e-11,1
2013,3.24224615409565e-11,1
2014,2.70553004603055e-11,1
2015,2.70553004603055e-11,1
2016,2.70553004603055e-11,1
2017,1.24596675569559e-11,0
2018,1.4951601068347e-11,0
2019,0,0
