"Year","Freq","Count"
1800,0,0
1801,4.71107995281272e-08,0
1802,3.92589996067727e-08,0
1803,3.36505710915195e-08,0
1804,3.36505710915195e-08,0
1805,3.36505710915195e-08,0
1806,3.36505710915195e-08,0
1807,3.36505710915195e-08,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,2.42860512652702e-09,0
1832,2.42860512652702e-09,0
1833,2.42860512652702e-09,0
1834,2.42860512652702e-09,0
1835,2.42860512652702e-09,0
1836,2.42860512652702e-09,0
1837,2.42860512652702e-09,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,2.19483047609564e-09,0
1867,2.19483047609564e-09,0
1868,3.13136557953239e-09,0
1869,3.13136557953239e-09,0
1870,3.13136557953239e-09,0
1871,3.13136557953239e-09,0
1872,5.20659750234488e-09,1
1873,5.1360494904681e-09,1
1874,5.1360494904681e-09,1
1875,4.19951438703135e-09,1
1876,4.19951438703135e-09,1
1877,2.02633559455632e-08,3
1878,2.02633559455632e-08,2
1879,1.92286344307442e-08,3
1880,1.77782840512667e-08,3
1881,1.95038057450501e-08,3
1882,2.03006324131901e-08,3
1883,2.79797590810712e-08,6
1884,1.41986629438e-08,2
1885,1.41986629438e-08,3
1886,1.66734312705736e-08,3
1887,1.791695947162e-08,3
1888,1.61914377778365e-08,3
1889,1.53946111096965e-08,3
1890,1.03014009386218e-08,2
1891,8.59495439899303e-09,2
1892,9.43453632678321e-09,2
1893,7.63168043046595e-09,2
1894,7.89858483380661e-09,2
1895,1.13762645652977e-08,4
1896,1.36456730994082e-08,5
1897,2.18097766830588e-08,7
1898,2.32066331548201e-08,8
1899,2.44374122525061e-08,14
1900,2.31243990939894e-08,12
1901,2.13526510124089e-08,9
1902,1.78749712809179e-08,6
1903,1.63709931959894e-08,6
1904,1.3418812188399e-08,5
1905,1.14456568350058e-08,4
1906,9.37529580952961e-09,3
1907,2.20269940065521e-08,7
1908,2.16143773990041e-08,7
1909,2.24543843836094e-08,8
1910,2.26574833815464e-08,9
1911,1.58608575162589e-08,5
1912,1.86147460620337e-08,6
1913,4.36860787544902e-08,13
1914,3.78054316106459e-08,11
1915,5.13288296311032e-08,16
1916,5.84940143306361e-08,15
1917,6.06875325231166e-08,20
1918,6.07208867314008e-08,13
1919,5.7966998185626e-08,15
1920,4.20001274394264e-08,13
1921,4.01549713480165e-08,11
1922,3.22065499983434e-08,12
1923,2.42013583142052e-08,6
1924,2.45124859457998e-08,5
1925,2.96925947956035e-08,7
1926,3.0277878680453e-08,7
1927,2.53049132759031e-08,6
1928,2.88739958292134e-08,7
1929,2.32990191584292e-08,6
1930,2.32990191584292e-08,6
1931,1.9825843887235e-08,5
1932,1.42959177829027e-08,3
1933,1.51873113450409e-08,3
1934,1.10558148033338e-08,2
1935,2.95033800564884e-09,1
1936,3.77093067882583e-09,1
1937,5.38307157579457e-09,1
1938,5.38307157579457e-09,1
1939,8.56047493209238e-09,1
1940,7.08379748510473e-09,1
1941,8.06251535375882e-09,1
1942,1.17614375381793e-08,2
1943,1.09408448650023e-08,1
1944,1.17280347338473e-08,2
1945,1.17280347338473e-08,2
1946,1.39758110481328e-08,3
1947,2.67356913116349e-08,6
1948,2.94983575344077e-08,7
1949,2.84573535529782e-08,7
1950,2.8993545025153e-08,8
1951,2.65942142593393e-08,7
1952,2.94372608828602e-08,15
1953,4.35092075384042e-08,12
1954,3.43757178278281e-08,9
1955,3.47706491535657e-08,10
1956,7.48397755831068e-08,20
1957,8.7787755477718e-08,24
1958,1.02757148060359e-07,28
1959,1.01954748929093e-07,30
1960,9.27226867032869e-08,29
1961,9.37269366563243e-08,33
1962,9.23409216710017e-08,32
1963,7.26848579736737e-08,25
1964,6.11646732944544e-08,19
1965,5.859470772077e-08,21
1966,6.06754874914779e-08,23
1967,5.06431213155776e-08,22
1968,5.58795913668015e-08,26
1969,5.56770713977528e-08,25
1970,3.36355160232163e-08,16
1971,3.16715293356497e-08,13
1972,2.32217412917838e-08,9
1973,2.2717654424298e-08,9
1974,2.73935828941165e-08,11
1975,1.90136143020579e-08,8
1976,2.27210850134441e-08,11
1977,2.19625763290107e-08,10
1978,2.39234020847436e-08,11
1979,2.11451189573759e-08,11
1980,2.17518377595586e-08,12
1981,1.97430080220836e-08,11
1982,1.94336338450134e-08,12
1983,1.38931713435296e-08,9
1984,1.46569896219972e-08,10
1985,1.57629083119559e-08,11
1986,1.50412229972728e-08,12
1987,1.35362835860877e-08,12
1988,2.56311708999947e-08,23
1989,2.53718852276969e-08,24
1990,2.59206255983001e-08,27
1991,3.08929599520827e-08,33
1992,2.95001213457269e-08,32
1993,3.08454445001922e-08,35
1994,3.02550079592631e-08,36
1995,1.60471756200613e-08,19
1996,2.83373245820887e-08,36
1997,3.02171341757886e-08,38
1998,3.43256937001308e-08,46
1999,3.5523208295553e-08,54
2000,3.69753301786093e-08,80
2001,3.59978556487204e-08,80
2002,3.675764388105e-08,89
2003,2.4641124537642e-08,67
2004,2.42007337978935e-08,72
2005,1.4285615531787e-08,40
2006,1.24429438022996e-08,39
2007,1.07684283553614e-08,38
2008,1.06472299231188e-08,44
2009,9.06274006633773e-09,43
2010,8.68370960852413e-09,43
2011,6.71146149766599e-09,42
2012,7.71177095198234e-09,59
2013,7.40220483321151e-09,58
2014,6.52855545814544e-09,60
2015,1.01178776468203e-08,75
2016,1.26585306839796e-08,85
2017,1.39363576419823e-08,113
2018,1.57006494694301e-08,121
2019,1.61437832546518e-08,122
