"Year","Freq","Count"
1800,2.02529837345367e-09,1
1801,2.92039192828497e-09,1
1802,2.43365994023748e-09,1
1803,2.08599423448926e-09,1
1804,3.61138198710721e-09,1
1805,7.90729637323295e-09,3
1806,8.94149674936427e-09,4
1807,1.12429304596365e-08,5
1808,1.03142495814065e-08,6
1809,1.28471968936188e-08,7
1810,1.48086357462266e-08,10
1811,1.56270875604849e-08,9
1812,1.08899845966245e-08,9
1813,1.06317018363658e-08,7
1814,8.53922626260178e-09,5
1815,1.06637740384029e-08,6
1816,9.46203590082969e-09,7
1817,8.18598726899061e-09,6
1818,6.73732204946122e-09,5
1819,6.32179218497596e-09,5
1820,5.98806536102257e-09,5
1821,5.90766147905748e-09,5
1822,3.90788260481604e-09,4
1823,3.13852450377945e-09,3
1824,3.12373436641065e-09,3
1825,3.11487770497467e-09,4
1826,3.05127927686349e-09,3
1827,3.13194151565658e-09,3
1828,3.44470450576649e-09,4
1829,4.79569545186465e-09,6
1830,4.23384437826207e-09,6
1831,1.10877116297838e-08,14
1832,1.05419917795224e-08,21
1833,1.06349083428547e-08,16
1834,1.07765368612916e-08,17
1835,1.08379200138207e-08,18
1836,1.07883225448318e-08,19
1837,1.13304124098918e-08,19
1838,5.86674003821841e-09,10
1839,5.67770507593173e-09,11
1840,5.57454992484401e-09,10
1841,5.60984458093066e-09,10
1842,5.35040594369057e-09,10
1843,4.97343598050902e-09,9
1844,5.3663061216902e-09,11
1845,6.04180057571315e-09,14
1846,6.15111970089391e-09,13
1847,9.98492778141775e-09,21
1848,9.88671598557898e-09,21
1849,1.06107659484219e-08,23
1850,1.1840129194545e-08,28
1851,2.26516039972654e-08,59
1852,2.07242997128456e-08,55
1853,2.11873078605405e-08,64
1854,1.89448088407294e-08,58
1855,1.87632583914521e-08,53
1856,1.84917299290393e-08,55
1857,1.74646640681088e-08,49
1858,6.23666093768627e-09,17
1859,6.03696972174233e-09,17
1860,8.6068211169188e-09,25
1861,7.5795677313893e-09,19
1862,7.60529992554255e-09,18
1863,8.19843934804102e-09,19
1864,7.65337636916235e-09,19
1865,8.15215538725005e-09,21
1866,8.9585293151982e-09,27
1867,1.30541172395558e-08,39
1868,1.78199536793322e-08,57
1869,1.98285324429622e-08,64
1870,2.10737973817464e-08,69
1871,4.28870859222766e-08,136
1872,5.05106871170494e-08,182
1873,5.43221921175555e-08,183
1874,5.81794851342973e-08,204
1875,6.20899813785769e-08,216
1876,7.02536163053681e-08,256
1877,8.91797551202548e-08,319
1878,1.65827924074919e-07,588
1879,2.11094039486477e-07,784
1880,2.20830307032635e-07,899
1881,2.20505380875226e-07,865
1882,2.55374537976622e-07,1041
1883,2.52048414917105e-07,1091
1884,2.43250114495552e-07,1097
1885,1.51280002509096e-07,664
1886,1.14615959913498e-07,508
1887,1.24163850030921e-07,579
1888,1.2312519437539e-07,604
1889,9.57738033721281e-08,494
1890,1.07731986450802e-07,555
1891,1.27665188222524e-07,673
1892,1.39073886296082e-07,756
1893,1.4387796043458e-07,809
1894,1.48483585883057e-07,825
1895,1.51493810272257e-07,959
1896,1.53579236938928e-07,948
1897,1.55859676982078e-07,1004
1898,1.30569907560599e-07,878
1899,1.1901221915903e-07,874
1900,1.07518493727302e-07,823
1901,8.520480244372e-08,672
1902,8.00081133329427e-08,625
1903,7.10431919166104e-08,559
1904,5.80103365344087e-08,482
1905,7.18980176664782e-08,594
1906,8.28311041661018e-08,739
1907,8.07603212796667e-08,725
1908,8.17662713092915e-08,763
1909,8.48326627675026e-08,778
