"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,5.18055788743612e-10,0
1955,5.18055788743612e-10,0
1956,5.18055788743612e-10,0
1957,5.18055788743612e-10,0
1958,5.18055788743612e-10,0
1959,5.18055788743612e-10,0
1960,5.18055788743612e-10,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,2.97428399369843e-10,0
1976,2.97428399369843e-10,0
1977,2.97428399369843e-10,0
1978,2.97428399369843e-10,0
1979,2.97428399369843e-10,0
1980,2.97428399369843e-10,0
1981,2.97428399369843e-10,0
1982,1.96294631343059e-10,0
1983,3.74991799516928e-10,0
1984,3.74991799516928e-10,0
1985,3.74991799516928e-10,0
1986,3.74991799516928e-10,0
1987,3.74991799516928e-10,0
1988,5.09004061122198e-10,0
1989,3.12709429779139e-10,0
1990,1.3401226160527e-10,0
1991,1.3401226160527e-10,0
1992,1.3401226160527e-10,0
1993,1.3401226160527e-10,0
1994,1.3401226160527e-10,0
1995,1.05114409240262e-10,0
1996,2.92470872916998e-10,0
1997,4.88929547642109e-10,1
1998,4.88929547642109e-10,1
1999,5.47529965810867e-10,1
2000,8.61766951449588e-10,2
2001,8.61766951449588e-10,2
2002,1.16235981950652e-09,3
2003,1.0660126670281e-09,3
2004,1.03092402075384e-09,3
2005,1.03092402075384e-09,3
2006,1.03283823160716e-09,3
2007,8.61564886894024e-10,3
2008,8.84454004082943e-10,4
2009,5.52678175050733e-10,3
2010,7.35930905501217e-10,4
2011,7.92216135945902e-10,5
2012,1.02180043989478e-09,8
2013,1.0035906689021e-09,8
2014,8.60627027976513e-10,8
2015,9.11352771026941e-10,7
2016,9.12422574003305e-10,6
2017,7.44520621080251e-10,6
2018,5.88707382842557e-10,5
2019,3.34111696642658e-10,3
