"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,2.3167158667649e-11,0
1934,4.56350314679911e-11,0
1935,4.56350314679911e-11,0
1936,4.56350314679911e-11,0
1937,4.56350314679911e-11,0
1938,4.56350314679911e-11,0
1939,4.56350314679911e-11,0
1940,2.24678728003421e-11,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,4.96472942122596e-11,0
1952,6.53312424000621e-11,1
1953,6.53312424000621e-11,1
1954,7.98471973064073e-11,1
1955,7.98471973064073e-11,1
1956,9.33152037783737e-11,1
1957,9.33152037783737e-11,1
1958,5.55697174783479e-11,1
1959,6.24736472871439e-11,1
1960,6.24736472871439e-11,1
1961,5.92132612783506e-11,1
1962,8.98185295980117e-11,1
1963,7.63505231260453e-11,1
1964,7.63505231260453e-11,1
1965,8.20788784161586e-11,1
1966,5.949100041956e-11,1
1967,5.949100041956e-11,1
1968,4.82354315220082e-11,1
1969,1.76301632023471e-11,0
1970,2.63996721309009e-11,0
1971,2.63996721309009e-11,0
1972,3.48558444012476e-11,1
1973,3.48558444012476e-11,1
1974,5.11508514116394e-11,1
1975,5.92603510905589e-11,1
1976,6.72967827297644e-11,1
1977,7.45800955714859e-11,1
1978,1.07219809915491e-10,2
1979,9.7388876229327e-11,2
1980,1.05225703150857e-10,2
1981,1.49969084769655e-10,3
1982,1.93740051283666e-10,3
1983,2.30118654786266e-10,4
1984,2.14065833015991e-10,4
1985,2.10362418952479e-10,4
1986,2.07924127320387e-10,4
1987,2.06774767942873e-10,4
1988,1.59599197944806e-10,3
1989,1.343267758929e-10,3
1990,1.49828897304844e-10,3
1991,2.02383044846575e-10,4
1992,2.75244283218631e-10,6
1993,2.87192607988691e-10,6
1994,3.84555217035145e-10,8
1995,5.43144947668622e-10,12
1996,5.85859340207495e-10,13
1997,5.94972483978852e-10,13
1998,6.4641850998954e-10,14
1999,5.98853407339307e-10,14
2000,7.02898692127902e-10,17
2001,7.20546134662976e-10,18
2002,6.33990445459658e-10,17
2003,6.57514481353491e-10,18
2004,6.9950819244134e-10,20
2005,8.19094723595156e-10,22
2006,8.42060872419115e-10,23
2007,8.08859054140283e-10,23
2008,7.87692049483305e-10,23
2009,8.38701612128543e-10,23
2010,9.34174370795634e-10,25
2011,9.39210282463465e-10,25
2012,8.97178729622076e-10,31
2013,8.94894461609238e-10,31
2014,9.02200551865835e-10,28
2015,9.32006150331352e-10,25
2016,8.5768457960822e-10,23
2017,7.80926239761966e-10,21
2018,7.74627595401256e-10,20
2019,6.5056297848809e-10,15
