"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,2.81133433992815e-10,0
1976,2.81133433992815e-10,0
1977,7.81175346631358e-10,0
1978,1.01240157527168e-09,0
1979,1.45432794378714e-09,1
1980,1.6640037601791e-09,1
1981,2.26068652686706e-09,1
1982,2.34972961722844e-09,1
1983,3.69679705894807e-09,2
1984,3.66547268728011e-09,2
1985,4.65054691581709e-09,3
1986,7.02966892632669e-09,6
1987,9.38010370963939e-09,8
1988,1.01705882842624e-08,9
1989,1.12815490996684e-08,11
1990,1.11228300300351e-08,12
1991,1.39070065701447e-08,15
1992,1.48273832339158e-08,16
1993,1.44337699966738e-08,16
1994,1.52415352799069e-08,18
1995,1.90934307888112e-08,23
1996,2.19255650936643e-08,28
1997,2.3934039008625e-08,30
1998,2.39136507461181e-08,32
1999,2.56268994001742e-08,39
2000,2.90024310004419e-08,63
2001,3.17216498822516e-08,70
2002,3.23385232124464e-08,78
2003,3.39259189788673e-08,92
2004,3.93228902019681e-08,116
2005,4.41967174485176e-08,123
2006,4.85474506190758e-08,151
2007,5.07013173231144e-08,178
2008,5.27364263885095e-08,218
2009,5.48756806701649e-08,256
2010,5.70090092355535e-08,282
2011,5.80702823129085e-08,359
2012,5.92399919436508e-08,453
2013,6.04863532593924e-08,468
2014,6.31423183104575e-08,575
2015,6.38916384084912e-08,472
2016,6.34404045328298e-08,424
2017,6.46408099824747e-08,523
2018,6.40518787564659e-08,492
2019,6.38317737278182e-08,481
