"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,3.86454638131742e-11,0
1872,3.86454638131742e-11,0
1873,3.86454638131742e-11,0
1874,3.86454638131742e-11,0
1875,3.86454638131742e-11,0
1876,3.86454638131742e-11,0
1877,3.86454638131742e-11,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,7.05905254884596e-11,0
1898,7.05905254884596e-11,0
1899,7.05905254884596e-11,1
1900,7.05905254884596e-11,1
1901,7.05905254884596e-11,1
1902,7.05905254884596e-11,1
1903,7.05905254884596e-11,1
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,1.30814268147919e-11,0
1910,1.30814268147919e-11,0
1911,1.30814268147919e-11,0
1912,1.30814268147919e-11,0
1913,1.30814268147919e-11,0
1914,1.30814268147919e-11,0
1915,1.30814268147919e-11,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,8.16091420631691e-11,0
1944,8.16091420631691e-11,0
1945,8.16091420631691e-11,0
1946,8.16091420631691e-11,1
1947,1.28835995443539e-10,1
1948,1.28835995443539e-10,1
1949,1.28835995443539e-10,1
1950,4.72268533803698e-11,0
1951,6.29630603607037e-11,1
1952,6.29630603607037e-11,1
1953,6.29630603607037e-11,1
1954,1.12356289946483e-10,1
1955,2.63977763259593e-10,2
1956,3.02422439273682e-10,3
1957,3.63035427116846e-10,4
1958,4.03910314916711e-10,4
1959,4.68398455934414e-10,5
1960,4.88542564537818e-10,5
1961,4.34747709062869e-10,5
1962,3.80185491223793e-10,5
1963,3.79442958204595e-10,5
1964,3.70197650312321e-10,5
1965,3.38752163225082e-10,5
1966,3.24490601055771e-10,5
1967,3.80107397937987e-10,6
1968,3.9630288931455e-10,6
1969,5.12903345787194e-10,8
1970,1.33482720809137e-09,21
1971,2.45090029124936e-09,39
1972,3.46887754582422e-09,55
1973,3.96867089340534e-09,64
1974,4.52873480135436e-09,72
1975,5.00177672543844e-09,81
1976,5.36143065112722e-09,92
1977,5.11269132833741e-09,89
1978,4.41871844421888e-09,77
1979,3.87805412485224e-09,68
1980,3.47712623079342e-09,61
1981,3.47996565889083e-09,60
1982,3.30738705470576e-09,58
1983,3.26908377253275e-09,59
1984,3.22453826041252e-09,60
1985,3.17090408097354e-09,61
1986,3.24661131708862e-09,62
1987,3.61923089513867e-09,70
1988,3.72571839401695e-09,73
1989,3.77134226179592e-09,77
1990,3.62912187454323e-09,77
1991,3.93202438515673e-09,80
1992,4.21471358458666e-09,90
1993,4.56847594129672e-09,97
1994,4.591667734029e-09,99
1995,4.65569944650095e-09,104
1996,5.15693152714333e-09,113
1997,5.80473517219507e-09,126
1998,6.04111058201605e-09,134
1999,6.48470083979597e-09,146
2000,7.14990566851632e-09,176
2001,8.30044151715297e-09,204
2002,9.60365364812064e-09,251
2003,1.11105738042389e-08,303
2004,1.27097406468371e-08,355
2005,1.43352825448489e-08,378
2006,1.63647312992343e-08,449
2007,1.80373107442186e-08,506
2008,2.08953732050234e-08,595
2009,2.2666730432588e-08,623
2010,2.3963869880029e-08,632
2011,2.64699626438944e-08,708
2012,2.91792712536963e-08,995
2013,3.15271346945645e-08,1090
2014,3.39179634160715e-08,1034
2015,3.46853361191509e-08,919
2016,3.67210021834374e-08,971
2017,3.85123696914717e-08,1048
2018,3.90106491221509e-08,1016
2019,3.92424896050736e-08,886
