"Year","Freq","Count"
1800,0,0
1801,0,0
1802,5.06481264335908e-10,0
1803,4.34126798002207e-10,0
1804,4.34126798002207e-10,0
1805,6.9380429972605e-10,0
1806,6.9380429972605e-10,0
1807,9.0302554323074e-10,0
1808,9.0302554323074e-10,0
1809,8.30748374853434e-10,0
1810,8.30748374853434e-10,1
1811,8.30748374853434e-10,1
1812,5.71070873129591e-10,0
1813,7.65050277097755e-10,1
1814,9.7374530660943e-10,1
1815,9.7374530660943e-10,1
1816,6.11895676984529e-10,0
1817,6.11895676984529e-10,0
1818,7.90930543281831e-10,1
1819,7.90930543281831e-10,1
1820,5.96951139313668e-10,0
1821,3.0758912084039e-10,0
1822,3.0758912084039e-10,0
1823,3.0758912084039e-10,0
1824,4.41709137520365e-10,0
1825,2.62674271223062e-10,0
1826,2.62674271223062e-10,0
1827,3.67244877365534e-10,0
1828,2.38690622822446e-10,0
1829,3.08964901282341e-10,0
1830,3.08964901282341e-10,0
1831,1.74844884602367e-10,0
1832,1.74844884602367e-10,0
1833,1.74844884602367e-10,0
1834,1.53334472103544e-10,0
1835,2.37117872955598e-10,0
1836,1.66843594495703e-10,0
1837,1.66843594495703e-10,0
1838,1.66843594495703e-10,0
1839,1.66843594495703e-10,0
1840,1.66843594495703e-10,0
1841,8.37834008520539e-11,0
1842,0,0
1843,6.55745259679565e-11,0
1844,1.32357382990175e-10,0
1845,1.32357382990175e-10,0
1846,1.32357382990175e-10,0
1847,2.53568305241814e-10,1
1848,2.53568305241814e-10,1
1849,2.53568305241814e-10,1
1850,1.87993779273857e-10,0
1851,1.21210922251639e-10,0
1852,1.71772493054842e-10,0
1853,2.68291174990562e-10,1
1854,1.47080252738923e-10,0
1855,1.99581997753892e-10,1
1856,1.99581997753892e-10,1
1857,1.99581997753892e-10,1
1858,1.99581997753892e-10,1
1859,1.49020426950689e-10,0
1860,5.25017450149688e-11,0
1861,5.25017450149688e-11,0
1862,0,0
1863,4.7737877143358e-11,0
1864,4.7737877143358e-11,0
1865,9.19644281362407e-11,0
1866,1.36204048040156e-10,0
1867,1.36204048040156e-10,0
1868,1.81015742078167e-10,1
1869,1.81015742078167e-10,1
1870,1.33277864934809e-10,0
1871,1.33277864934809e-10,0
1872,8.90513139419267e-11,0
1873,4.48116940380113e-11,0
1874,4.48116940380113e-11,0
1875,0,0
1876,3.83319844120068e-11,0
1877,7.32836569206086e-11,0
1878,1.09569016558199e-10,0
1879,1.09569016558199e-10,0
1880,1.09569016558199e-10,0
1881,1.09569016558199e-10,0
1882,1.09569016558199e-10,0
1883,7.12370321461922e-11,0
1884,6.6796266930323e-11,0
1885,3.05109072927325e-11,0
1886,3.05109072927325e-11,0
1887,3.05109072927325e-11,0
1888,3.05109072927325e-11,0
1889,5.66818040916216e-11,0
1890,5.66818040916216e-11,0
1891,2.61708967988891e-11,0
1892,2.61708967988891e-11,0
1893,2.61708967988891e-11,0
1894,4.82626696543928e-11,0
