"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,1.85386223198033e-08,0
1818,1.85386223198033e-08,0
1819,1.85386223198033e-08,0
1820,1.85386223198033e-08,1
1821,1.85386223198033e-08,1
1822,1.85386223198033e-08,1
1823,3.07085546832501e-08,1
1824,2.42053945141509e-08,1
1825,2.42053945141509e-08,1
1826,2.42053945141509e-08,1
1827,2.42053945141509e-08,1
1828,2.42053945141509e-08,1
1829,2.42053945141509e-08,1
1830,1.44018092689586e-08,1
1831,2.36634711825445e-09,0
1832,2.36634711825445e-09,0
1833,2.36634711825445e-09,0
1834,2.36634711825445e-09,0
1835,2.36634711825445e-09,0
1836,2.36634711825445e-09,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,2.72450963377326e-09,0
1855,2.72450963377326e-09,0
1856,4.14563037866498e-09,0
1857,4.14563037866498e-09,0
1858,4.14563037866498e-09,0
1859,4.14563037866498e-09,0
1860,4.14563037866498e-09,0
1861,1.42112074489173e-09,0
1862,1.42112074489173e-09,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,9.44931878775281e-10,0
1878,9.44931878775281e-10,0
1879,9.44931878775281e-10,0
1880,9.44931878775281e-10,0
1881,9.44931878775281e-10,0
1882,9.44931878775281e-10,0
1883,9.44931878775281e-10,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,3.28859225565533e-10,0
1899,1.15700363575602e-09,1
1900,1.15700363575602e-09,1
1901,1.15700363575602e-09,1
1902,1.15700363575602e-09,0
1903,1.15700363575602e-09,0
1904,1.15700363575602e-09,0
1905,8.28144410190492e-10,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,7.88910397326552e-10,0
1936,7.88910397326552e-10,0
1937,7.88910397326552e-10,0
1938,7.88910397326552e-10,0
1939,7.88910397326552e-10,0
1940,7.88910397326552e-10,0
1941,7.88910397326552e-10,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,4.05548674007962e-10,0
1961,4.05548674007962e-10,0
1962,4.05548674007962e-10,0
1963,4.05548674007962e-10,0
1964,4.05548674007962e-10,0
1965,4.05548674007962e-10,0
1966,4.05548674007962e-10,0
1967,3.05816039158913e-10,0
1968,3.05816039158913e-10,0
1969,3.05816039158913e-10,0
1970,3.05816039158913e-10,0
1971,3.05816039158913e-10,0
1972,3.05816039158913e-10,0
1973,3.05816039158913e-10,0
1974,0,0
1975,0,0
1976,2.84329607477421e-10,0
1977,2.84329607477421e-10,0
1978,5.29432830909116e-10,0
1979,5.29432830909116e-10,0
1980,7.51751740222874e-10,0
1981,7.51751740222874e-10,0
1982,7.51751740222874e-10,0
1983,4.67422132745453e-10,0
1984,7.98994045528697e-10,1
1985,1.19952122837727e-09,1
1986,1.19952122837727e-09,1
1987,9.77202319063508e-10,1
1988,9.77202319063508e-10,1
1989,9.77202319063508e-10,1
1990,9.77202319063508e-10,1
1991,7.6485812921285e-10,1
1992,2.3879242234364e-10,0
1993,2.3879242234364e-10,0
1994,2.3879242234364e-10,0
1995,2.3879242234364e-10,0
1996,2.3879242234364e-10,0
1997,2.3879242234364e-10,0
1998,2.4710317125809e-10,0
1999,1.27538471847036e-10,0
2000,1.27538471847036e-10,0
2001,1.75505499022677e-10,0
2002,2.76932318346975e-10,1
2003,3.22436973946135e-10,1
2004,3.22436973946135e-10,1
2005,2.2901647245277e-10,1
2006,2.2901647245277e-10,1
2007,2.57609201827412e-10,1
2008,2.09642174651771e-10,1
2009,1.08215355327473e-10,1
2010,6.27106997283125e-11,0
2011,9.38043075755195e-11,1
2012,7.88183625509222e-11,1
2013,7.88183625509222e-11,1
2014,6.76994016401977e-11,1
2015,1.04506831759872e-10,1
2016,1.7950808300122e-10,1
2017,2.09426096834756e-10,2
2018,2.07780265215618e-10,2
2019,2.26244287193644e-10,2
