"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,1.37078044153733e-09,1
1818,1.37078044153733e-09,1
1819,1.37078044153733e-09,1
1820,1.37078044153733e-09,1
1821,1.37078044153733e-09,1
1822,1.37078044153733e-09,1
1823,2.21355708366186e-09,2
1824,1.64749674220437e-09,2
1825,1.64749674220437e-09,2
1826,1.64749674220437e-09,2
1827,1.75206734834684e-09,2
1828,1.75206734834684e-09,2
1829,1.75206734834684e-09,2
1830,1.48111799015892e-09,2
1831,6.76397890079069e-10,1
1832,6.76397890079069e-10,1
1833,6.76397890079069e-10,1
1834,5.71827283936597e-10,1
1835,5.71827283936597e-10,1
1836,5.71827283936597e-10,1
1837,0,0
1838,0,0
1839,3.03125746725641e-10,1
1840,3.03125746725641e-10,1
1841,3.03125746725641e-10,1
1842,3.03125746725641e-10,1
1843,4.34274798661554e-10,1
1844,4.34274798661554e-10,1
1845,4.34274798661554e-10,1
1846,2.61590051207707e-10,1
1847,2.61590051207707e-10,1
1848,2.61590051207707e-10,1
1849,2.61590051207707e-10,1
1850,5.57670171945952e-10,1
1851,5.57670171945952e-10,1
1852,5.57670171945952e-10,1
1853,4.75488513642018e-10,1
1854,6.26994099496768e-10,2
1855,6.26994099496768e-10,2
1856,7.26391708687808e-10,2
1857,2.9916253601365e-10,1
1858,2.9916253601365e-10,1
1859,2.9916253601365e-10,1
1860,2.5090319504579e-10,1
1861,9.939760919104e-11,0
1862,9.939760919104e-11,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,3.49516725086017e-11,0
1878,3.49516725086017e-11,0
1879,3.49516725086017e-11,0
1880,3.49516725086017e-11,0
1881,3.49516725086017e-11,0
1882,6.73612514973903e-11,0
1883,6.73612514973903e-11,0
1884,3.24095789887886e-11,0
1885,6.14328548349213e-11,0
1886,8.90214707505166e-11,0
1887,1.16655439276668e-10,1
1888,1.16655439276668e-10,1
1889,1.62758548702005e-10,1
1890,1.62758548702005e-10,1
1891,1.62758548702005e-10,1
1892,1.33735272855873e-10,1
1893,1.983933434202e-10,1
1894,1.70759374894049e-10,1
1895,1.70759374894049e-10,1
1896,9.22466864799227e-11,1
1897,2.40860728187694e-10,2
1898,2.5889889636905e-10,2
1899,3.13540616089395e-10,2
1900,2.75505743219107e-10,2
1901,2.75505743219107e-10,2
1902,3.44378904361596e-10,3
1903,3.44378904361596e-10,3
1904,2.11618602601644e-10,2
1905,1.93580434420288e-10,2
1906,1.38938714699943e-10,1
1907,8.47269010903088e-11,1
1908,8.47269010903088e-11,1
1909,1.58537399478195e-11,0
1910,1.58537399478195e-11,0
