"Year","Freq","Count"
1800,1.7139120700449e-07,2
1801,1.37112965603592e-07,1
1802,1.1426080466966e-07,0
1803,9.79378325739942e-08,1
1804,9.79378325739942e-08,0
1805,1.30164250679497e-07,1
1806,1.30164250679497e-07,1
1807,6.58629103002438e-08,0
1808,7.86274441111345e-08,1
1809,1.21878917371175e-07,2
1810,2.83709974878223e-07,6
1811,3.66530560061814e-07,4
1812,3.26986745489778e-07,11
1813,3.92930657661899e-07,7
1814,4.31549207543672e-07,5
1815,4.38271015415889e-07,7
1816,4.08142360035819e-07,5
1817,2.55580613688673e-07,4
1818,2.83641196879054e-07,6
1819,2.60741548986841e-07,6
1820,2.130405312479e-07,7
1821,1.80154639650709e-07,5
1822,1.68018523538649e-07,7
1823,2.27915299839359e-07,7
1824,2.38705093279025e-07,12
1825,1.31607145752761e-07,5
1826,1.38618193241362e-07,5
1827,1.57038386358213e-07,6
1828,1.51305728073632e-07,6
1829,2.03343280499472e-07,8
1830,1.350563805553e-07,6
1831,1.58712168233218e-07,7
1832,1.6585373328683e-07,9
1833,1.91083068098611e-07,11
1834,1.72483203465999e-07,10
1835,2.0228270144632e-07,13
1836,1.56221249396944e-07,11
1837,1.78809412229189e-07,13
1838,1.4621096587421e-07,8
1839,1.52868725297342e-07,11
1840,1.23030266736229e-07,10
1841,1.13081666950978e-07,10
1842,8.5979782024229e-08,8
1843,8.40515159694633e-08,6
1844,6.47446719729113e-08,6
1845,5.52832528961338e-08,6
1846,1.43927130784911e-07,13
1847,1.97193796783576e-07,18
1848,2.35809837688196e-07,20
1849,2.66713177511844e-07,22
1850,3.15233067078274e-07,30
1851,3.346694799384e-07,24
1852,3.5341376453906e-07,34
1853,3.57268048795894e-07,31
1854,3.49945695786248e-07,33
1855,3.1791284271776e-07,29
1856,3.01365338779241e-07,33
1857,3.42482959833238e-07,36
1858,3.22339655158187e-07,28
1859,3.24313385543665e-07,32
1860,2.77066118365659e-07,30
1861,2.30871362916218e-07,18
1862,2.28598328076503e-07,17
1863,9.04463225077328e-07,76
1864,8.30111805833716e-07,85
1865,8.79115608500212e-07,101
1866,8.8637277733434e-07,121
1867,8.41354058169129e-07,121
1868,8.79800277837311e-07,140
1869,8.89384335067689e-07,115
1870,2.51141777596331e-07,36
1871,2.69546355013972e-07,41
1872,2.4955198897812e-07,31
1873,2.27356767063774e-07,28
1874,2.27293125019758e-07,27
1875,2.00881416897606e-07,28
1876,2.20180398611904e-07,29
1877,2.25035316857104e-07,29
1878,2.03079883829917e-07,23
1879,2.05262209768924e-07,27
1880,2.51067855267755e-07,38
1881,2.88533469370935e-07,50
1882,3.35470989844465e-07,46
1883,3.05255246096132e-07,64
1884,2.76922061155054e-07,46
1885,2.63955711890925e-07,47
1886,2.36002664648944e-07,39
1887,1.89153564684424e-07,35
1888,1.52733323892968e-07,30
1889,9.74301320891665e-08,20
1890,1.05473842517055e-07,23
1891,7.88867117978193e-08,18
1892,8.80301498045506e-08,23
1893,1.24147835028105e-07,34
1894,1.6362795616866e-07,40
1895,1.59611642791546e-07,54
1896,1.67770672687695e-07,56
1897,1.62496758525167e-07,53
1898,1.82550809643292e-07,60
1899,2.04647644988906e-07,115
1900,1.7595755899943e-07,88
1901,1.61857382480995e-07,70
1902,1.74276920387026e-07,60
1903,1.76396597297211e-07,63
1904,1.8982716620819e-07,65
1905,1.98548062213533e-07,61
1906,1.80533343607792e-07,67
1907,1.84076598186422e-07,60
1908,1.9232899631635e-07,64
1909,1.89489522390523e-07,68
1910,1.91762959543342e-07,77
1911,1.82992966938197e-07,62
1912,1.76687533556422e-07,60
1913,1.73909240024679e-07,51
1914,1.77278265464257e-07,50
1915,1.49425447190258e-07,46
1916,1.48013459964704e-07,38
1917,1.38869737740878e-07,47
1918,4.74686629559073e-07,100
1919,4.69029166997156e-07,125
1920,4.5994727785167e-07,145
1921,4.44190655685921e-07,122
1922,4.52461177667475e-07,162
1923,5.03969514057242e-07,118
1924,5.24895349724679e-07,98
1925,2.01007928777943e-07,46
1926,2.0065570665346e-07,44
1927,2.20404718476175e-07,54
1928,2.70200942001761e-07,62
1929,3.29124805758292e-07,80
1930,2.64841041922434e-07,64
1931,2.65614466358041e-07,68
1932,2.50227055393586e-07,50
1933,2.59428723011926e-07,43
1934,2.63111266298109e-07,51
1935,2.2075306681048e-07,46
1936,1.76673107825971e-07,34
1937,1.76979235584034e-07,36
1938,1.68423642841832e-07,30
1939,1.73635444625627e-07,30
1940,1.66053632748892e-07,29
1941,1.46749245580732e-07,25
1942,1.47235891478914e-07,22
1943,1.754085376631e-07,23
1944,2.12316405472685e-07,31
1945,1.94199698227188e-07,31
1946,1.86754245464929e-07,43
1947,1.87542349523133e-07,44
1948,2.02882901716756e-07,49
1949,2.13403767101994e-07,50
1950,1.73538059922151e-07,48
1951,1.77272652747616e-07,47
1952,2.02766378925341e-07,100
1953,2.19994133056543e-06,583
1954,2.21687150110077e-06,592
1955,2.21534270984845e-06,665
1956,2.2051744639841e-06,575
1957,2.20135882316492e-06,604
1958,2.1696571991089e-06,597
1959,2.16424112710532e-06,637
1960,1.80595986641409e-07,57
1961,1.57321005016848e-07,55
1962,1.5417406205666e-07,54
1963,1.55704101167942e-07,55
1964,1.75534382140796e-07,54
1965,1.94242869852193e-07,70
1966,1.87731267452053e-07,70
1967,2.02961584998868e-07,88
1968,2.01686072921957e-07,93
1969,1.96107980362673e-07,88
1970,2.03719263870892e-07,95
1971,1.85318467936315e-07,75
1972,1.68015596292901e-07,66
1973,1.68779880167185e-07,66
1974,1.35889706756994e-07,54
1975,1.35498127194568e-07,54
1976,2.06021715465354e-07,97
1977,2.01730382462121e-07,92
1978,2.44250953589693e-07,117
1979,2.50366768555261e-07,125
1980,5.04036731304883e-07,270
1981,5.21060319098281e-07,302
1982,5.31701227538381e-07,323
1983,4.74741283919476e-07,304
1984,5.00397051017565e-07,337
1985,4.80573077380316e-07,348
1986,4.79113224760574e-07,381
1987,2.48303254513083e-07,213
1988,2.97625724573639e-07,262
1989,3.08782670861112e-07,293
1990,2.92414926875547e-07,306
1991,2.93147697862293e-07,311
1992,2.71244736449461e-07,294
1993,2.71342066529964e-07,305
1994,2.47091203561415e-07,295
1995,2.0620652011313e-07,245
1996,3.24448249853861e-07,411
1997,3.54376568153672e-07,449
1998,3.3653219785482e-07,455
1999,3.37796659533041e-07,512
