"Year","Freq","Count"
1800,4.86834268453862e-08,12
1801,5.324842664578e-08,13
1802,5.8555164124859e-08,14
1803,6.3879139279775e-08,22
1804,6.97571616660651e-08,21
1805,7.78745765333306e-08,25
1806,8.2376223715335e-08,33
1807,9.73461687449527e-08,45
1808,1.012524712645e-07,55
1809,9.63339135922376e-08,53
1810,1.05310430391954e-07,72
1811,1.06534123300861e-07,64
1812,1.03408241208009e-07,81
1813,1.11752562473707e-07,73
1814,9.64709914968204e-08,59
1815,9.39376425376385e-08,56
1816,1.07049132764508e-07,79
1817,1.03745891179484e-07,71
1818,1.49340426548937e-07,110
1819,1.65811232601319e-07,124
1820,1.63488388937871e-07,136
1821,1.75184987024782e-07,139
1822,1.81937572444176e-07,172
1823,1.7409027618693e-07,168
1824,1.65055243655272e-07,183
1825,1.13544177258808e-07,129
1826,1.01253719210691e-07,103
1827,1.00878034647867e-07,107
1828,9.61756102297555e-08,108
1829,9.90574139698402e-08,119
1830,1.0904809918547e-07,148
1831,1.14698739014532e-07,148
1832,1.19003334488253e-07,241
1833,1.20867834391929e-07,180
1834,1.1862244715071e-07,182
1835,1.32422567697014e-07,221
1836,1.52483383626072e-07,263
1837,1.49971395928856e-07,257
1838,1.53532904350368e-07,261
1839,1.64662253602074e-07,312
1840,1.62630631620316e-07,299
1841,1.76933783489565e-07,330
1842,1.70251709254364e-07,320
1843,1.62411069561306e-07,306
1844,1.61130385177368e-07,328
1845,1.68219762643394e-07,394
1846,1.66726661698924e-07,362
1847,1.69929348409997e-07,362
1848,1.98480664197793e-07,423
1849,2.58506051429931e-07,564
1850,2.68023311235575e-07,629
1851,2.94731278628811e-07,767
1852,2.96872046096868e-07,786
1853,3.22913212780218e-07,968
1854,3.39012186291652e-07,1039
1855,3.20095727416156e-07,901
1856,2.72768454014281e-07,804
1857,2.615286392211e-07,737
1858,2.40718174694875e-07,653
1859,2.41438463190389e-07,691
1860,2.15293599614696e-07,636
1861,2.1269260311715e-07,525
1862,2.09365911179355e-07,489
1863,2.34777458648797e-07,548
1864,3.32709870606454e-07,838
1865,3.35710535148692e-07,857
1866,3.46567245917179e-07,1033
1867,3.46586686144385e-07,1047
1868,3.49562679437452e-07,1125
1869,3.81045248877752e-07,1226
1870,3.7450991882285e-07,1234
1871,2.90626851219754e-07,923
1872,3.05701169775067e-07,1099
1873,3.07250036714533e-07,1035
1874,3.43583115355476e-07,1205
1875,3.62273566954587e-07,1259
1876,3.5029294550729e-07,1278
1877,3.45454008002629e-07,1237
1878,3.58176210722507e-07,1271
1879,3.94758884374775e-07,1466
1880,4.23175213220312e-07,1723
1881,4.41422614524559e-07,1731
1882,4.74418271144218e-07,1934
1883,4.90242854692521e-07,2121
1884,5.14134613105455e-07,2318
1885,5.25791868964477e-07,2309
1886,5.16088410610191e-07,2287
1887,5.00823545175016e-07,2336
1888,5.14993287633761e-07,2525
1889,4.99599509698864e-07,2577
1890,4.94900957548339e-07,2549
1891,4.84824625779368e-07,2555
1892,4.77932875117152e-07,2599
1893,4.86353488910701e-07,2736
1894,5.04209476837048e-07,2802
1895,4.762152859986e-07,3016
1896,4.71528356043344e-07,2909
1897,4.76017615293399e-07,3066
1898,4.95641251977271e-07,3331
1899,5.0309013018993e-07,3693
1900,5.02948709092875e-07,3852
1901,5.17562915572764e-07,4082
1902,5.10909375124007e-07,3991
1903,5.14050001930246e-07,4047
1904,5.21425820743104e-07,4329
1905,5.01668637425163e-07,4145
1906,4.95954530776999e-07,4427
1907,4.82248248699437e-07,4328
1908,4.54295325168021e-07,4240
1909,4.61829474472454e-07,4235
1910,4.61704989415271e-07,4484
1911,4.54524051158549e-07,4713
1912,4.59670450528701e-07,4746
