"Year","Freq","Count"
1800,3.89429655189844e-09,1
1801,3.76551385627977e-09,1
1802,3.13792821356647e-09,1
1803,2.68965275448555e-09,1
1804,2.68965275448555e-09,1
1805,2.11099607635593e-09,1
1806,2.11099607635593e-09,1
1807,4.64340439115014e-10,0
1808,1.882905640928e-09,1
1809,2.2447552705529e-09,1
1810,2.46269292260491e-09,2
1811,3.16584480852811e-09,2
1812,3.40455306803632e-09,3
1813,3.40455306803632e-09,2
1814,4.24038561406905e-09,3
1815,2.35747997314105e-09,1
1816,1.99563034351615e-09,1
1817,1.77769269146414e-09,1
1818,1.07454080554094e-09,1
1819,9.86130003052413e-10,1
1820,9.86130003052413e-10,1
1821,7.93068753525615e-10,1
1822,9.17837655085257e-10,1
1823,9.17837655085257e-10,1
1824,1.05195767176523e-09,1
1825,1.05195767176523e-09,1
1826,9.01660214745549e-10,1
1827,1.00623082088802e-09,1
1828,3.63459524382088e-10,0
1829,4.49513458202132e-10,1
1830,4.49513458202132e-10,1
1831,3.15393441522157e-10,0
1832,3.15393441522157e-10,1
1833,3.15393441522157e-10,0
1834,2.10822835379685e-10,0
1835,2.10822835379685e-10,0
1836,0,0
1837,0,0
1838,0,0
1839,6.06251493451282e-10,1
1840,6.06251493451282e-10,1
1841,7.46206731326384e-10,1
1842,7.46206731326384e-10,1
1843,7.46206731326384e-10,1
1844,7.46206731326384e-10,2
1845,7.46206731326384e-10,2
1846,2.05175737510999e-10,0
1847,2.05175737510999e-10,0
1848,6.52204996358969e-11,0
1849,6.52204996358969e-11,0
1850,6.52204996358969e-11,0
1851,1.11649094731397e-10,0
1852,1.622106655346e-10,0
1853,6.27842924475327e-10,2
1854,6.27842924475327e-10,2
1855,6.80344669490296e-10,2
1856,6.80344669490296e-10,2
1857,7.28478892288363e-10,2
1858,6.82050297192863e-10,2
1859,6.3148872638966e-10,2
1860,2.22626393510593e-10,1
1861,2.22626393510593e-10,1
1862,1.70124648495624e-10,0
1863,2.6560040278234e-10,1
1864,2.17466179984273e-10,1
1865,2.17466179984273e-10,1
1866,2.17466179984273e-10,1
1867,1.38688207743495e-10,0
1868,2.28311595819518e-10,1
1869,2.28311595819518e-10,1
1870,2.59545222615541e-10,1
1871,3.81273405704517e-10,1
1872,3.81273405704517e-10,1
1873,3.81273405704517e-10,1
1874,3.38060952247738e-10,1
1875,2.88552590551764e-10,1
1876,3.26884574963771e-10,1
1877,2.00175193881031e-10,1
1878,7.84470107920551e-11,0
1879,7.84470107920551e-11,0
1880,1.11333694247889e-10,0
1881,1.74464884999154e-10,1
1882,1.34349858619106e-10,1
1883,9.60178742070994e-11,0
1884,1.57039688792564e-10,1
1885,1.57039688792564e-10,1
1886,1.57039688792564e-10,1
