"Year","Freq","Count"
1800,5.84074957288294e-08,1
1801,9.38367961111908e-08,0
1802,7.8197330092659e-08,0
1803,8.03454664069899e-08,1
1804,6.84035340116549e-08,0
1805,8.48692615867159e-08,0
1806,8.48692615867159e-08,1
1807,7.65333203795698e-08,1
1808,4.28827492880503e-08,0
1809,4.28827492880503e-08,1
1810,5.26822877385972e-08,1
1811,6.45137997626729e-08,1
1812,4.8048072187612e-08,2
1813,4.8048072187612e-08,1
1814,3.49502339450477e-08,0
1815,3.49502339450477e-08,1
1816,4.15116428850329e-08,1
1817,1.8392920964061e-08,0
1818,6.56140893998522e-09,0
1819,1.68197519404397e-08,0
1820,2.13804755487347e-08,1
1821,2.42468046910257e-08,1
1822,6.83481581173088e-08,3
1823,6.17867491773235e-08,2
1824,6.98103906111263e-08,3
1825,6.98103906111263e-08,3
1826,6.30288793855373e-08,2
1827,6.15234129039014e-08,2
1828,5.86570837616104e-08,2
1829,1.71378076174733e-08,1
1830,1.71378076174733e-08,1
1831,9.11416618367054e-09,0
1832,1.56690378767215e-08,1
1833,1.6154409365754e-08,1
1834,1.91202265449013e-08,1
1835,1.91202265449013e-08,1
1836,2.79607142518655e-08,2
1837,2.96682678424531e-08,2
1838,3.60205229453316e-08,2
1839,3.53264995668821e-08,3
1840,3.13642963029841e-08,3
1841,2.69661466489879e-08,2
1842,3.37101792829182e-08,3
1843,2.22876142938081e-08,2
1844,2.53884683435298e-08,2
1845,1.90362132406514e-08,2
1846,2.36238657842185e-08,2
1847,3.98730765230734e-08,4
1848,6.74568174017866e-08,6
1849,6.8017339697032e-08,6
1850,7.12561477759063e-08,7
1851,6.94977874614113e-08,5
1852,6.94977874614113e-08,7
1853,6.28893112824309e-08,6
1854,5.34513743742439e-08,5
1855,3.07770692740762e-08,3
1856,2.77358765795758e-08,3
1857,3.35643629715118e-08,4
1858,3.41678761474538e-08,3
1859,4.3489977333674e-08,4
1860,4.47445558699704e-08,5
1861,3.93260143180133e-08,3
1862,4.64609071215705e-08,4
1863,4.42752610447477e-08,4
1864,4.01494758709272e-08,4
1865,4.63279814510997e-08,5
1866,4.68826176610751e-08,6
1867,5.66336147502154e-08,8
1868,6.2733163172116e-08,10
1869,5.94911466121419e-08,8
1870,6.99432986449113e-08,10
1871,6.98762465032944e-08,11
1872,7.35331876658815e-08,9
1873,7.42778628445454e-08,9
1874,7.60738991800736e-08,9
1875,8.87021220918882e-08,12
1876,9.34955546633936e-08,13
1877,8.75802094973161e-08,11
1878,9.50985895745557e-08,11
1879,8.68121343700068e-08,11
1880,8.02343142401542e-08,12
1881,7.73968510233861e-08,13
1882,8.19779739964182e-08,11
1883,7.18787225295614e-08,15
1884,8.35261628751027e-08,14
1885,7.83954302109789e-08,14
1886,8.09264914128757e-08,13
1887,1.02449036555795e-07,19
1888,1.03055476723719e-07,20
1889,1.14225895916523e-07,23
1890,1.29276625404628e-07,29
1891,1.16777650850862e-07,26
1892,1.25047812105095e-07,33
1893,1.35294638762115e-07,37
1894,1.29824655851049e-07,32
1895,1.45409030276917e-07,49
1896,1.29961662828241e-07,43
1897,1.43738947125779e-07,47
1898,1.57378653632888e-07,51
1899,1.70831442547481e-07,96
1900,1.91993150869659e-07,96
1901,2.09445106972136e-07,90
1902,2.16792049391655e-07,74
1903,2.50712933429804e-07,89
1904,2.53155417200596e-07,87
1905,2.62429870152252e-07,81
1906,2.869700283435e-07,107
1907,2.70402769381966e-07,89
1908,2.54762465472831e-07,85
1909,2.45560768956971e-07,88
1910,2.28987853313965e-07,92
1911,2.13122807846133e-07,72
1912,2.34474633550466e-07,79
1913,2.45577747312201e-07,72
1914,2.53371868152996e-07,72
1915,2.84881482626176e-07,88
1916,3.09575513160861e-07,79
1917,3.44078242215622e-07,116
1918,3.7010890574507e-07,78
1919,3.74826173591255e-07,100
1920,3.52078373630097e-07,111
1921,3.75723167752743e-07,103
1922,3.54516721376033e-07,127
1923,3.30420073778116e-07,77
1924,2.94034176435381e-07,55
1925,2.8538816985803e-07,65
1926,2.7278236799536e-07,59
1927,2.6218317231549e-07,64
1928,2.42635119488252e-07,55
1929,2.48319356378955e-07,60
1930,2.77227540796637e-07,67
1931,2.79339497311071e-07,71
1932,2.85938729075294e-07,57
1933,2.8809861436179e-07,48
1934,2.90382600948951e-07,56
1935,3.07196023983737e-07,64
1936,3.00483333453323e-07,58
1937,2.94426040881035e-07,60
1938,3.3712816608197e-07,61
1939,3.33172018672302e-07,58
1940,3.45056646747618e-07,61
1941,3.6336337735524e-07,62
1942,3.60552796634701e-07,53
1943,3.70431419887447e-07,49
1944,3.74627350601437e-07,54
1945,3.1753963921791e-07,50
1946,3.10591642563704e-07,71
1947,3.27393203087516e-07,78
1948,3.28969499006705e-07,79
1949,3.17841548636011e-07,74
1950,3.84554888758056e-07,107
1951,3.65513939369423e-07,97
1952,3.85491472965072e-07,191
1953,4.0043245341792e-07,106
1954,3.74589015900944e-07,100
1955,3.69225338716004e-07,111
1956,3.7540065091411e-07,98
1957,3.17967069467835e-07,87
1958,3.26536335018953e-07,90
1959,3.12328276225975e-07,92
1960,3.11231874018856e-07,98
1961,3.05301497035718e-07,107
1962,3.09865439846695e-07,108
1963,4.31853815438136e-07,151
1964,4.27339269240942e-07,131
1965,4.33484137601121e-07,157
1966,4.37070232894854e-07,164
1967,4.69439026001035e-07,204
1968,4.68399561296248e-07,215
1969,4.5942718835639e-07,206
1970,3.3501724987823e-07,156
1971,3.36994854497976e-07,136
1972,3.26828912060912e-07,128
1973,3.35456905682057e-07,131
1974,3.00696674290383e-07,119
1975,3.39639391278013e-07,134
1976,3.29229718122802e-07,155
1977,3.31853199998987e-07,152
1978,3.32579676132205e-07,159
1979,3.56649646609292e-07,178
1980,3.51510535440929e-07,189
1981,3.42087395061823e-07,198
1982,3.00856308199648e-07,183
1983,3.08154001982253e-07,197
1984,3.08369405423368e-07,208
1985,3.03096203500632e-07,219
1986,2.92144688234559e-07,232
1987,2.9157676899911e-07,250
1988,2.8944521937976e-07,255
1989,2.90530237740632e-07,275
1990,3.0316055450135e-07,317
1991,2.96903237360726e-07,315
1992,2.91787140481249e-07,316
1993,2.81129976821757e-07,316
1994,2.96325992759401e-07,353
1995,3.02871519007399e-07,360
1996,3.06337875796306e-07,388
1997,3.03109292268796e-07,384
1998,3.15045795292893e-07,426
1999,3.46111747865204e-07,525
2000,3.4441415792357e-07,747
2001,3.35009106899875e-07,746
2002,3.39740457385876e-07,824
2003,3.39031986548325e-07,920
2004,3.36750839023482e-07,998
2005,3.34903532461794e-07,938
2006,3.06876646380009e-07,958
2007,3.05480124814953e-07,1076
2008,3.05683861302951e-07,1273
2009,3.01436837110306e-07,1415
2010,3.05785092834045e-07,1520
2011,3.01709034866704e-07,1874
2012,2.92571436252434e-07,2250
2013,2.90523225381684e-07,2259
2014,2.91486880822843e-07,2665
2015,2.90456045374096e-07,2158
2016,2.83261184222791e-07,1904
2017,2.76716019320666e-07,2251
2018,2.71006923879824e-07,2092
2019,2.71160427167683e-07,2054
