"Year","Freq","Count"
1800,9.50978777947142e-08,24
1801,1.02081366470941e-07,25
1802,9.6716874250132e-08,23
1803,9.83441763580117e-08,34
1804,9.25761922993778e-08,28
1805,9.08115022069111e-08,30
1806,8.93054532705558e-08,36
1807,8.8583804085702e-08,41
1808,7.73064459748594e-08,42
1809,7.36538983454287e-08,41
1810,6.58377175317375e-08,45
1811,5.80096488146862e-08,35
1812,5.52612130975762e-08,43
1813,5.4488503074625e-08,36
1814,5.36447771283731e-08,33
1815,5.46535686390166e-08,33
1816,5.53575913838803e-08,41
1817,5.28702004398696e-08,36
1818,5.175642105369e-08,38
1819,5.04302499125332e-08,38
1820,4.89702093320332e-08,41
1821,7.59329703955583e-08,60
1822,7.63617427623764e-08,72
1823,7.60675641285426e-08,73
1824,7.72307782408761e-08,85
1825,7.90850254886851e-08,90
1826,7.95269319366275e-08,81
1827,8.09220980621131e-08,86
1828,5.26086099049218e-08,59
1829,4.97075519713595e-08,60
1830,4.982726660639e-08,68
1831,4.69607282505002e-08,61
1832,4.15693594387915e-08,84
1833,4.05059598323249e-08,60
1834,3.84313757722283e-08,59
1835,4.13869968137906e-08,69
1836,4.06583918755032e-08,70
1837,3.93722461617634e-08,67
1838,4.00567336601908e-08,68
1839,3.91548916781456e-08,74
1840,3.73187757204566e-08,69
1841,3.57515961835197e-08,67
1842,3.49777809176872e-08,66
1843,3.71523930429797e-08,70
1844,3.69860228317214e-08,75
1845,3.74694077828356e-08,88
1846,4.14365792630481e-08,90
1847,4.67331195804935e-08,100
1848,5.33343880092042e-08,114
1849,5.38953194930057e-08,118
1850,5.46864316370537e-08,128
1851,5.75877389346375e-08,150
1852,6.10220539574792e-08,162
1853,5.92096428156782e-08,178
1854,6.01080887365134e-08,184
1855,5.87061976095197e-08,165
1856,6.25168200540926e-08,184
1857,6.40256458168358e-08,180
1858,6.44706619994701e-08,175
1859,6.60582157387322e-08,189
1860,7.03856172116054e-08,208
1861,7.3158224050169e-08,181
1862,7.26024970777926e-08,170
1863,7.16100043231447e-08,167
1864,7.11677477743018e-08,179
1865,7.37782365518263e-08,188
1866,7.62730489164579e-08,227
1867,7.67910924887832e-08,232
1868,7.65607012628447e-08,246
1869,8.41501118985034e-08,271
1870,8.73047080066477e-08,288
1871,9.53725051274937e-08,303
1872,9.71108299449178e-08,349
1873,1.00865736481413e-07,340
1874,1.02386899074127e-07,359
1875,1.15508545034393e-07,401
1876,1.17804680526452e-07,430
1877,1.30941174411195e-07,469
1878,1.27997069748753e-07,454
1879,1.27810632248395e-07,475
1880,1.26700190484061e-07,516
1881,1.27438511602589e-07,500
1882,1.17086920224861e-07,477
