"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,6.68746754401666e-12,0
1988,6.68746754401666e-12,0
1989,6.68746754401666e-12,0
1990,6.68746754401666e-12,0
1991,1.98260044294494e-11,0
1992,1.98260044294494e-11,0
1993,2.62673632844823e-11,1
1994,1.95798957404657e-11,0
1995,1.95798957404657e-11,0
1996,1.95798957404657e-11,0
1997,1.95798957404657e-11,0
1998,1.79969338043318e-11,0
1999,1.79969338043318e-11,0
2000,2.29637587715167e-10,6
2001,2.39779047807507e-10,6
2002,2.88096032149568e-10,8
2003,3.49993679375573e-10,10
2004,3.55040225393946e-10,10
2005,3.98139177876233e-10,11
2006,5.52536339598619e-10,15
2007,1.30591050423853e-09,37
2008,1.86191455556999e-09,53
2009,1.97954475182814e-09,55
2010,2.26153439229572e-09,60
2011,3.67241899638342e-09,99
2012,4.2959264003249e-09,147
2013,9.9741440424366e-09,346
2014,1.06445446901304e-08,326
2015,1.34399846648695e-08,358
2016,1.78302146975578e-08,474
2017,2.04007153115082e-08,558
2018,2.24985547636614e-08,589
2019,2.69364100746738e-08,612
