"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,9.06692816065353e-11,0
1851,1.79313809832239e-10,0
1852,1.79313809832239e-10,0
1853,1.79313809832239e-10,1
1854,1.79313809832239e-10,1
1855,1.79313809832239e-10,1
1856,1.79313809832239e-10,1
1857,8.86445282257041e-11,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,4.02424720531107e-11,0
1896,4.02424720531107e-11,0
1897,4.02424720531107e-11,0
1898,4.02424720531107e-11,0
1899,4.02424720531107e-11,0
1900,5.74056437306427e-11,0
1901,5.74056437306427e-11,0
1902,1.71631716775319e-11,0
1903,4.74210611254934e-11,0
1904,9.25780226289165e-11,1
1905,1.35992425653875e-10,1
1906,1.80189353517411e-10,2
1907,1.63026181839879e-10,1
1908,1.63026181839879e-10,2
1909,1.76107608654671e-10,2
1910,1.4584971920671e-10,1
1911,1.13961297739821e-10,1
1912,7.05468947148624e-11,1
1913,2.63499668513261e-11,0
1914,2.63499668513261e-11,0
1915,5.66395531666407e-11,1
1916,4.35581263518487e-11,0
1917,8.33745899700819e-11,1
1918,9.74281032834717e-11,1
1919,1.24424900938003e-10,1
1920,1.46449378417885e-10,1
1921,1.46449378417885e-10,1
1922,1.16159792102571e-10,1
1923,1.16159792102571e-10,1
1924,7.63433284843375e-11,0
1925,4.90212751344135e-11,0
1926,2.20244774798825e-11,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,4.13243249143745e-11,0
1939,4.13243249143745e-11,0
1940,1.14884086371043e-10,1
1941,1.14884086371043e-10,1
1942,1.14884086371043e-10,1
1943,1.55688656411357e-10,1
1944,2.82045010362759e-10,1
1945,2.76404657098947e-10,2
1946,2.76404657098947e-10,2
1947,2.02844895642278e-10,2
1948,4.1412292246206e-10,3
1949,4.1412292246206e-10,4
1950,4.21567487267944e-10,4
1951,3.2668354727721e-10,3
1952,2.90999575626648e-10,2
1953,2.90999575626648e-10,2
1954,3.04802445188252e-10,3
1955,1.48659497410465e-10,1
1956,1.48659497410465e-10,1
1957,1.24655557701533e-10,1
1958,1.04505362696905e-10,1
1959,1.26001409702806e-10,1
1960,1.36073464004508e-10,2
1961,1.22270594442903e-10,1
1962,7.68414409483117e-11,1
1963,1.99373409646787e-10,3
1964,1.83689494170913e-10,2
1965,1.97532882907834e-10,3
1966,1.76036835901933e-10,3
1967,1.74382660097664e-10,3
1968,1.99677253898134e-10,3
1969,1.89971328350731e-10,3
1970,9.24770101765457e-11,1
1971,8.39157305151542e-11,1
1972,6.7029034604506e-11,1
1973,7.48864621107665e-11,1
1974,6.64685836133343e-11,1
1975,4.11739898128641e-11,1
1976,4.11739898128641e-11,1
1977,2.37724225225579e-11,0
1978,2.37724225225579e-11,0
1979,2.32239500448055e-11,0
1980,1.5366522538545e-11,0
1981,1.5366522538545e-11,0
1982,1.5366522538545e-11,0
1983,1.5366522538545e-11,0
1984,7.73043930456043e-12,0
1985,7.73043930456043e-12,0
1986,1.97108797537839e-11,0
1987,2.60732165024979e-11,1
1988,3.92617431621556e-11,1
1989,4.55915543413304e-11,1
1990,5.8262198637011e-11,1
1991,1.33304821546356e-10,3
1992,1.51473518252208e-10,3
1993,1.37893876376939e-10,3
1994,1.56299875819776e-10,3
1995,1.91784038055293e-10,4
1996,2.39474491328265e-10,5
1997,2.76095124441505e-10,6
1998,2.39556649814629e-10,5
1999,2.78177343759107e-10,6
2000,3.75885772904308e-10,9
2001,4.13911484452102e-10,10
2002,5.08452062199437e-10,13
2003,5.33071638418394e-10,15
2004,6.90537559672982e-10,19
2005,7.60901183330783e-10,20
2006,8.31526316056954e-10,23
2007,9.21827003619313e-10,26
2008,1.06532419394004e-09,30
2009,1.11945609924748e-09,31
2010,1.22399774442934e-09,32
2011,1.29944670896569e-09,35
2012,1.48493268475087e-09,51
2013,1.57641888431925e-09,55
2014,1.51564253211437e-09,46
2015,1.44366463228351e-09,38
2016,1.71035430263089e-09,45
2017,1.78170161957425e-09,49
2018,1.74295331500929e-09,46
2019,1.66357258524208e-09,38
