"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,1.05878609451311e-11,0
1961,1.05878609451311e-11,0
1962,1.05878609451311e-11,0
1963,1.05878609451311e-11,0
1964,1.05878609451311e-11,0
1965,1.05878609451311e-11,0
1966,1.05878609451311e-11,0
1967,0,0
1968,0,0
1969,0,0
1970,5.26170535713228e-11,1
1971,5.26170535713228e-11,1
1972,5.26170535713228e-11,1
1973,5.26170535713228e-11,1
1974,5.26170535713228e-11,1
1975,5.26170535713228e-11,1
1976,6.06534852105283e-11,1
1977,8.03643163920548e-12,0
1978,8.03643163920548e-12,0
1979,2.42918334257349e-11,0
1980,3.21286603472653e-11,1
1981,3.9758458925914e-11,1
1982,9.90504191563816e-11,2
1983,9.10139875171761e-11,2
1984,1.05715174213745e-10,2
1985,1.20183324106174e-10,2
1986,2.00647691418159e-10,4
1987,1.92810864496629e-10,4
1988,2.406323394512e-10,5
1989,2.07948424353026e-10,4
1990,6.14053604590976e-10,13
1991,1.63072759165209e-09,33
1992,1.71169463226389e-09,36
1993,1.72447796419657e-09,37
1994,1.89355933611595e-09,41
1995,2.00417347796998e-09,44
1996,2.16662662414332e-09,47
1997,2.7384507270927e-09,59
1998,2.63729931444999e-09,58
1999,3.7946334348536e-09,85
2000,4.32379908662675e-09,106
2001,6.99939731372913e-09,171
2002,7.75672313879650e-09,202
2003,8.77982422875512e-09,238
2004,9.21492781485218e-09,256
2005,1.03069216341297e-08,271
2006,1.04025542569822e-08,284
2007,1.14706427793709e-08,320
2008,1.08482166409629e-08,308
2009,1.11445371686019e-08,305
2010,1.15085249608896e-08,302
2011,1.15903439351044e-08,308
2012,1.19443630264282e-08,405
2013,1.27524232562681e-08,439
2014,1.448005638013e-08,439
2015,1.47178970122397e-08,388
2016,1.72032086036873e-08,453
2017,1.82315682851579e-08,494
2018,1.97850893612905e-08,512
2019,2.05729475261096e-08,462
