"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,3.25658839577565e-09,0
1844,3.25658839577565e-09,0
1845,3.25658839577565e-09,0
1846,4.99800518432331e-09,0
1847,4.99800518432331e-09,0
1848,6.94511622815038e-09,1
1849,8.40602723936204e-09,1
1850,5.1494388435864e-09,0
1851,5.1494388435864e-09,0
1852,5.1494388435864e-09,0
1853,3.40802205503873e-09,0
1854,3.40802205503873e-09,0
1855,1.46091101121166e-09,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,1.15835963043764e-09,0
1870,1.15835963043764e-09,0
1871,1.15835963043764e-09,0
1872,1.15835963043764e-09,0
1873,1.15835963043764e-09,0
1874,1.15835963043764e-09,0
1875,1.15835963043764e-09,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,1.25309680092706e-09,0
1889,1.25309680092706e-09,0
1890,1.25309680092706e-09,0
1891,1.25309680092706e-09,0
1892,1.25309680092706e-09,0
1893,1.25309680092706e-09,0
1894,1.25309680092706e-09,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,1.19822907151956e-09,1
1901,1.19822907151956e-09,1
1902,1.19822907151956e-09,0
1903,1.19822907151956e-09,0
1904,1.19822907151956e-09,0
1905,1.19822907151956e-09,0
1906,1.5947121401183e-09,1
1907,7.49215705348709e-10,0
1908,1.17051968118176e-09,0
1909,1.17051968118176e-09,0
1910,1.17051968118176e-09,0
1911,1.17051968118176e-09,0
1912,1.17051968118176e-09,0
1913,7.74036612583018e-10,0
1914,4.21303975833049e-10,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,1.19013573599399e-09,0
1920,1.19013573599399e-09,0
1921,1.19013573599399e-09,0
1922,1.19013573599399e-09,0
1923,1.84326338319758e-09,0
1924,1.84326338319758e-09,0
1925,1.84326338319758e-09,0
1926,6.53127647203584e-10,0
1927,1.24334142981297e-09,0
1928,1.24334142981297e-09,0
1929,1.24334142981297e-09,0
1930,5.90213782609388e-10,0
1931,5.90213782609388e-10,0
1932,5.90213782609388e-10,0
1933,5.90213782609388e-10,0
1934,0,0
1935,0,0
1936,1.64118534635398e-09,0
1937,1.64118534635398e-09,0
1938,1.64118534635398e-09,0
1939,1.64118534635398e-09,0
1940,1.64118534635398e-09,0
1941,1.64118534635398e-09,0
1942,1.64118534635398e-09,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,5.1039521815304e-10,0
1948,5.1039521815304e-10,0
1949,5.1039521815304e-10,0
1950,5.1039521815304e-10,0
1951,5.1039521815304e-10,0
1952,5.1039521815304e-10,0
1953,5.1039521815304e-10,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,4.04578180481151e-10,0
1959,1.22083717738316e-09,0
1960,1.22083717738316e-09,0
1961,1.22083717738316e-09,0
1962,2.00663730076656e-09,1
1963,2.00663730076656e-09,1
1964,2.00663730076656e-09,1
1965,1.60205912028541e-09,1
1966,7.85800123383394e-10,0
1967,7.85800123383394e-10,0
1968,7.85800123383394e-10,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,3.01445027669648e-10,0
1974,3.01445027669648e-10,0
1975,3.01445027669648e-10,0
1976,5.85774635147069e-10,0
1977,5.85774635147069e-10,0
1978,5.85774635147069e-10,0
1979,5.85774635147069e-10,0
1980,2.84329607477421e-10,0
1981,2.84329607477421e-10,0
1982,2.84329607477421e-10,0
1983,7.14788672695477e-10,0
1984,7.14788672695477e-10,0
1985,7.14788672695477e-10,1
1986,7.14788672695477e-10,1
1987,8.50744665191274e-10,1
1988,1.11876918840181e-09,1
1989,1.38119265231345e-09,1
1990,6.66403979617972e-10,1
1991,6.66403979617972e-10,1
1992,7.85968679029025e-10,1
1993,1.01034289664729e-09,1
1994,1.2104947758448e-09,1
1995,9.42470252634259e-10,1
1996,7.73725020560992e-10,1
1997,8.39211244147669e-10,1
1998,1.03051894398806e-09,1
1999,1.02815508091452e-09,2
2000,9.08526527819222e-10,2
2001,8.60220819179755e-10,2
2002,1.11378785956034e-09,3
2003,1.15662360244961e-09,3
2004,1.25250740731378e-09,4
2005,1.16355361853441e-09,3
2006,1.43969788471817e-09,4
2007,1.44932313769378e-09,5
2008,1.27596656256707e-09,5
2009,1.15177955268513e-09,5
2010,1.23467521127653e-09,6
2011,1.18213281227345e-09,7
2012,1.21370307455087e-09,9
2013,9.68424975132466e-10,7
2014,1.09868681612874e-09,10
2015,1.20508580891965e-09,9
2016,1.28195922131726e-09,9
2017,1.23964118599792e-09,10
2018,1.33521074197063e-09,10
2019,1.43464612412103e-09,11
