"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,3.50999959256423e-10,0
1804,3.50999959256423e-10,0
1805,3.50999959256423e-10,0
1806,3.50999959256423e-10,0
1807,5.60221202761113e-10,0
1808,5.60221202761113e-10,0
1809,9.22070832386014e-10,1
1810,1.44282148133763e-09,1
1811,1.67720543802525e-09,1
1812,1.67720543802525e-09,1
1813,1.67720543802525e-09,1
1814,3.13964928658602e-09,2
1815,3.13964928658602e-09,2
1816,3.15814512636641e-09,2
1817,2.28639451815837e-09,2
1818,2.05201056147075e-09,1
1819,2.05201056147075e-09,2
1820,2.05201056147075e-09,2
1821,5.08899723948377e-10,0
1822,5.08899723948377e-10,0
1823,1.28554254543088e-10,0
1824,1.28554254543088e-10,0
1825,1.28554254543088e-10,0
1826,1.28554254543088e-10,0
1827,2.3312486068556e-10,0
1828,6.56217144115853e-10,1
1829,6.56217144115853e-10,1
1830,6.56217144115853e-10,1
1831,6.56217144115853e-10,1
1832,7.41366603028228e-10,1
1833,8.23844865343355e-10,1
1834,8.02334452844531e-10,1
1835,9.20955121687582e-10,2
1836,9.20955121687582e-10,2
1837,9.98396532114754e-10,2
1838,9.98396532114754e-10,2
1839,1.21637281992802e-09,2
1840,1.20948052367049e-09,2
1841,1.33635319476966e-09,2
1842,1.57831761152646e-09,3
1843,2.23406284741553e-09,4
1844,2.62410142821372e-09,5
1845,3.35822783866949e-09,8
1846,3.57686608903102e-09,8
1847,3.68309651031597e-09,8
1848,3.80128967985322e-09,8
1849,3.26523482855176e-09,7
1850,2.70442941057476e-09,6
1851,3.86195018821565e-09,10
1852,3.53231634418551e-09,9
1853,3.34836774180352e-09,10
1854,3.72207180949451e-09,11
1855,3.65645450425437e-09,10
1856,3.72756698523753e-09,11
1857,3.82516405851772e-09,11
1858,2.60338791794165e-09,7
1859,2.32075412855335e-09,7
1860,3.14184776607971e-09,9
1861,3.49011426108754e-09,9
1862,3.56191515964761e-09,8
1863,3.59200467782626e-09,8
1864,4.10589457671457e-09,10
1865,3.92380271131896e-09,10
1866,4.50977785274428e-09,13
1867,3.65335599867527e-09,11
1868,3.51136786314044e-09,11
1869,3.92919005268563e-09,13
1870,4.00088527387408e-09,13
1871,3.49733879951535e-09,11
1872,4.01333690090512e-09,14
1873,3.50054674136402e-09,12
1874,3.39676314060305e-09,12
1875,3.35703479300723e-09,12
1876,4.36817428260485e-09,16
1877,4.86765048903136e-09,17
1878,5.57190416028419e-09,20
1879,5.42830810460312e-09,20
1880,6.15409150623541e-09,25
1881,6.46043745484397e-09,25
1882,6.64583518375902e-09,27
1883,5.26803540472948e-09,23
1884,5.13481244825341e-09,23
1885,4.83716726990784e-09,21
1886,4.57469586022187e-09,20
1887,4.17891410364746e-09,19
1888,4.37593846872427e-09,21
1889,3.7040083381409e-09,19
1890,3.82445059748144e-09,20
1891,3.29319911023569e-09,17
1892,2.90842611898918e-09,16
