"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,1.74262604346609e-10,0
1843,1.74262604346609e-10,0
1844,1.74262604346609e-10,0
1845,1.74262604346609e-10,0
1846,1.74262604346609e-10,0
1847,2.3214071934571e-10,0
1848,2.3214071934571e-10,0
1849,5.78781149991008e-11,0
1850,5.78781149991008e-11,0
1851,5.78781149991008e-11,0
1852,5.78781149991008e-11,0
1853,5.78781149991008e-11,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,1.50166133496197e-10,1
1882,1.50166133496197e-10,1
1883,1.50166133496197e-10,1
1884,1.50166133496197e-10,1
1885,1.50166133496197e-10,1
1886,1.50166133496197e-10,1
1887,1.50166133496197e-10,1
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,5.18856703633576e-11,0
1900,6.90488420408895e-11,1
1901,2.31827731614739e-10,2
1902,2.64528684671258e-10,2
1903,2.64528684671258e-10,2
1904,2.79581005172399e-10,2
1905,3.37466875872343e-10,3
1906,3.44510443982062e-10,3
1907,3.41259792250145e-10,3
1908,1.78480902676296e-10,2
1909,1.58861376434568e-10,1
1910,1.85016145261484e-10,2
1911,1.96500904833411e-10,2
1912,3.16563864407752e-10,3
1913,3.25516932853098e-10,3
1914,3.81038885959623e-10,4
1915,6.08210782333212e-10,6
1916,6.23739106991079e-10,6
1917,6.50672955000114e-10,6
1918,6.24135874927045e-10,6
1919,7.4315181488752e-10,7
1920,6.75269507969097e-10,7
1921,7.12568331720905e-10,7
1922,5.31246275145162e-10,5
1923,6.19250801430533e-10,4
1924,6.58928844028089e-10,3
1925,6.8077225404536e-10,4
1926,4.05568971263902e-10,2
1927,4.7033987419073e-10,3
1928,3.85251951372036e-10,2
1929,3.87430938521481e-10,2
1930,3.74261738663887e-10,2
1931,3.81180926109107e-10,2
1932,4.94128408824933e-10,3
1933,4.94374588885397e-10,3
1934,4.93626056696783e-10,3
1935,8.098115888184e-10,5
1936,7.81676723349278e-10,5
