"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,1.96294631343059e-10,0
1983,1.96294631343059e-10,0
1984,3.62080587734681e-10,0
1985,3.62080587734681e-10,0
1986,3.62080587734681e-10,0
1987,3.62080587734681e-10,0
1988,7.64117372550491e-10,1
1989,8.30246205119067e-10,1
1990,8.30246205119067e-10,1
1991,6.64460248727445e-10,1
1992,6.64460248727445e-10,1
1993,6.64460248727445e-10,1
1994,8.88532168476429e-10,1
1995,4.86495383660619e-10,1
1996,4.11428383425719e-10,1
1997,5.42400830599072e-10,1
1998,7.33708530439462e-10,1
1999,7.92308948608219e-10,1
2000,8.446817808697e-10,2
2001,6.68576888296357e-10,1
2002,7.19290297958506e-10,2
2003,5.31933834281771e-10,1
2004,4.4130389422113e-10,1
2005,2.84114164734411e-10,1
2006,4.07057637596964e-10,1
2007,3.83277534710125e-10,1
2008,3.81088741912323e-10,2
2009,4.04306780515158e-10,2
2010,5.6886400550444e-10,3
2011,6.21802325898432e-10,4
2012,7.02476507519201e-10,5
2013,5.84389903531982e-10,5
2014,5.90744711085175e-10,5
2015,6.55388767066358e-10,5
2016,6.00207631611711e-10,4
2017,5.08258807726166e-10,4
2018,4.79317410762015e-10,4
2019,3.98260497497249e-10,3
