"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,1.43802390630197e-11,0
1919,1.43802390630197e-11,0
1920,1.43802390630197e-11,0
1921,1.43802390630197e-11,0
1922,1.43802390630197e-11,0
1923,1.43802390630197e-11,0
1924,1.43802390630197e-11,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,5.63082596422808e-11,0
1946,5.63082596422808e-11,0
1947,5.63082596422808e-11,0
1948,5.63082596422808e-11,0
1949,5.63082596422808e-11,0
1950,5.63082596422808e-11,0
1951,5.63082596422808e-11,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,1.19018079122338e-11,0
1959,1.19018079122338e-11,0
1960,1.19018079122338e-11,0
1961,1.19018079122338e-11,0
1962,1.19018079122338e-11,0
1963,1.19018079122338e-11,0
1964,8.38482884314904e-11,1
1965,1.42467133328645e-10,2
1966,2.56777059932339e-10,4
1967,3.01000454719765e-10,5
1968,3.62996244174241e-10,6
1969,5.15603301125862e-10,8
1970,6.55915443982723e-10,10
1971,6.91379758007863e-10,11
1972,7.59986227719508e-10,12
1973,8.02504137547328e-10,13
1974,9.6196833336361e-10,15
1975,1.18380504357529e-09,19
1976,1.66607610495505e-09,28
1977,2.42472198519869e-09,42
1978,3.36178202934142e-09,58
1979,4.39304383941559e-09,77
1980,6.00733883074752e-09,106
1981,8.19177822202517e-09,142
1982,1.14135829750688e-08,198
1983,1.39173675713882e-08,251
1984,1.58704397872475e-08,294
1985,1.81319411836158e-08,345
1986,2.02500244757066e-08,386
1987,2.2357632710468e-08,429
1988,2.44749218639944e-08,478
1989,2.55857803445931e-08,523
1990,2.6508169418444e-08,559
1991,2.77225162915015e-08,565
1992,2.83675611255165e-08,602
1993,2.73979781709177e-08,581
1994,2.54116578429577e-08,546
1995,2.30523178071175e-08,512
1996,2.05344012810447e-08,450
1997,1.83544251627722e-08,398
1998,1.66049408280895e-08,367
1999,1.50130346656436e-08,336
2000,1.53267068253185e-08,376
2001,1.49403029060405e-08,365
2002,1.48557514122579e-08,386
2003,1.38506973365791e-08,376
2004,1.30495825410463e-08,363
2005,1.15376019284098e-08,303
2006,1.05629189680759e-08,289
2007,8.63882282673264e-09,241
2008,8.0217173964844e-09,227
2009,7.24213469848507e-09,198
2010,6.98376444174809e-09,183
2011,6.82299820313283e-09,182
2012,6.61081021174903e-09,224
2013,5.72937839036859e-09,197
2014,5.76910106095793e-09,175
2015,5.62420161286302e-09,148
2016,4.81790458966727e-09,127
2017,4.64654133398856e-09,126
2018,4.28897711027276e-09,111
2019,4.32395408454106e-09,97
