"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,2.97428399369843e-10,0
1976,2.97428399369843e-10,0
1977,2.97428399369843e-10,0
1978,5.42531622801537e-10,0
1979,5.42531622801537e-10,0
1980,5.42531622801537e-10,0
1981,7.53387320782752e-10,0
1982,2.02631597215738e-09,1
1983,2.38371030850512e-09,2
1984,2.54949626489674e-09,2
1985,3.11143103345505e-09,2
1986,3.11143103345505e-09,2
1987,3.11143103345505e-09,3
1988,2.90057533547383e-09,3
1989,1.33021828472936e-09,1
1990,9.72823948381623e-10,1
1991,1.88008745080229e-09,2
1992,1.3121788576344e-09,1
1993,2.20967572810744e-09,2
1994,2.99392743929872e-09,4
1995,3.41438507625976e-09,4
1996,3.78909800361324e-09,5
1997,4.64041892213528e-09,6
1998,4.01375410685745e-09,5
1999,4.47782969433977e-09,7
2000,4.20880679514417e-09,9
2001,4.14406049158751e-09,9
2002,4.23073693538762e-09,10
2003,4.58409849762071e-09,13
2004,4.74134027277679e-09,14
2005,5.07966893944659e-09,14
2006,5.01186755589142e-09,16
2007,4.8694699701051e-09,17
2008,4.5161904374932e-09,19
2009,4.91471660194317e-09,23
2010,5.08256481346336e-09,25
2011,4.41603179420927e-09,28
2012,4.05222303331446e-09,31
2013,3.67064857874157e-09,29
2014,3.46415248867312e-09,32
2015,3.42919350058781e-09,26
2016,2.74853701703088e-09,19
2017,2.16138336857815e-09,18
2018,2.11481849810014e-09,16
2019,1.90694016133364e-09,15
