"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,6.67828570222184e-11,0
1845,6.67828570222184e-11,0
1846,1.32003356658115e-10,0
1847,1.32003356658115e-10,0
1848,1.32003356658115e-10,0
1849,1.32003356658115e-10,0
1850,1.32003356658115e-10,0
1851,6.52204996358969e-11,0
1852,6.52204996358969e-11,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,2.61708967988891e-11,0
1890,2.61708967988891e-11,0
1891,2.61708967988891e-11,0
1892,2.61708967988891e-11,0
1893,2.61708967988891e-11,0
1894,4.82626696543928e-11,0
1895,4.82626696543928e-11,0
1896,2.20917728555037e-11,0
1897,2.20917728555037e-11,0
1898,2.20917728555037e-11,0
1899,9.49473991492969e-11,1
1900,2.7565345244491e-10,2
1901,2.53561679589406e-10,2
1902,2.70779969875028e-10,2
1903,2.70779969875028e-10,2
1904,2.86633709822848e-10,2
1905,2.86633709822848e-10,2
1906,2.13778083529054e-10,2
1907,4.77222041645702e-11,0
1908,4.77222041645702e-11,0
1909,3.05039138789479e-11,0
1910,3.05039138789479e-11,0
1911,2.86281058383052e-11,0
1912,4.30422136424699e-11,0
1913,4.30422136424699e-11,0
1914,2.83920397113415e-11,0
1915,2.83920397113415e-11,0
1916,2.83920397113415e-11,0
1917,2.83920397113415e-11,0
1918,1.44141078041647e-11,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,2.62330098120346e-11,0
1932,2.62330098120346e-11,0
1933,1.65235961817929e-10,1
1934,1.65235961817929e-10,1
1935,1.87458294918587e-10,1
1936,1.87458294918587e-10,1
1937,1.87458294918587e-10,1
1938,1.61225285106552e-10,1
1939,1.61225285106552e-10,1
1940,2.22223331006585e-11,0
1941,4.98009034804221e-11,0
1942,2.75785703797636e-11,0
1943,2.75785703797636e-11,0
1944,4.65498929085634e-11,0
1945,4.65498929085634e-11,0
1946,4.65498929085634e-11,0
1947,4.65498929085634e-11,0
1948,1.89713225287999e-11,0
1949,1.89713225287999e-11,0
1950,1.89713225287999e-11,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,1.27437247262766e-11,0
1958,3.65473405507442e-11,0
1959,3.65473405507442e-11,0
1960,1.10662366175391e-10,1
1961,1.66940211654421e-10,2
1962,2.38352500435214e-10,3
1963,2.58160213444698e-10,3
1964,2.90383039042957e-10,4
1965,3.28284994426704e-10,5
1966,3.63457280145545e-10,5
1967,3.42410328265811e-10,5
1968,3.21558648755779e-10,5
1969,3.57868984446341e-10,6
1970,4.87142923222272e-10,8
1971,4.86930870624569e-10,8
1972,5.29570641307129e-10,8
1973,9.40119585354385e-10,15
1974,1.53885181581564e-09,24
1975,1.64128714290136e-09,27
1976,1.79876676748014e-09,31
1977,1.81823974626516e-09,32
1978,2.00196324993764e-09,35
1979,2.2714921570672e-09,40
1980,1.96683381387119e-09,35
1981,1.43711028890595e-09,25
1982,1.52159364473294e-09,27
1983,1.53028412560755e-09,28
1984,1.56019551246698e-09,29
1985,1.69342124945698e-09,33
1986,1.6787918604869e-09,32
1987,1.91891462640394e-09,37
1988,2.06716280006157e-09,41
1989,2.47010700187606e-09,51
1990,2.80870076204856e-09,60
1991,3.13577621210584e-09,64
1992,3.32759660500884e-09,71
1993,4.46274697157063e-09,95
1994,5.3171559774182e-09,115
1995,6.10709482191345e-09,137
1996,6.77372393097033e-09,150
1997,7.25996972063468e-09,159
1998,7.94776363769297e-09,177
1999,8.53854393539117e-09,193
2000,8.00994047280211e-09,198
2001,7.51974312580244e-09,185
2002,7.47950458314582e-09,196
2003,6.8220373021312e-09,187
2004,6.60645059045411e-09,185
2005,6.11356127081757e-09,162
2006,5.81844122337004e-09,160
2007,6.0924636630298e-09,172
2008,6.51110383169197e-09,186
2009,6.72738501711345e-09,186
2010,7.29653970874386e-09,193
2011,7.62970217907388e-09,205
2012,8.2709198483133e-09,283
2013,8.52939715136653e-09,296
2014,8.45343085561263e-09,259
2015,8.43526498650604e-09,225
2016,7.84984099745843e-09,209
2017,7.75394133160449e-09,212
2018,7.60189834414504e-09,199
2019,7.11946139542174e-09,162
